CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,CustomerStatus,WarehouseDistanceBand,TenureBand,CashbackBand,RecencyScore,FrequencyScore,ChurnProbability,PredictedChurn,RiskBand,RiskRank
50001,1,4.0,Phone,3,6.0,Debit Card,Female,3.0,3,Laptop & Accessory,2,Single,9,1,11.0,1.0,1.0,5.0,160,Churned,Very close,0–6 months,Moderate,2,1,0.6819,1,High,842
50002,1,10.19,Phone,1,8.0,UPI,Male,3.0,4,Mobile Phone,3,Single,7,1,15.0,0.0,1.0,0.0,121,Churned,Very close,7–12 months,Moderate,5,1,0.8473,1,High,416
50003,1,10.19,Phone,1,30.0,Debit Card,Male,2.0,4,Mobile Phone,3,Single,6,1,14.0,0.0,1.0,3.0,120,Churned,Moderate,7–12 months,Moderate,4,1,0.9343,1,High,187
50004,1,0.0,Phone,3,15.0,Debit Card,Male,2.0,4,Laptop & Accessory,5,Single,8,0,23.0,0.0,1.0,3.0,134,Churned,Close,0–6 months,Moderate,4,1,0.9386,1,High,170
50005,1,0.0,Phone,1,12.0,CC,Male,2.93,3,Mobile Phone,5,Single,3,0,11.0,1.0,1.0,3.0,130,Churned,Close,0–6 months,Moderate,4,1,0.7392,1,High,700
50006,1,0.0,Computer,1,22.0,Debit Card,Female,3.0,5,Mobile Phone,5,Single,2,1,22.0,4.0,6.0,7.0,139,Churned,Moderate,0–6 months,Moderate,2,5,0.9783,1,High,48
50007,1,10.19,Phone,3,11.0,Cash on Delivery,Male,2.0,3,Laptop & Accessory,2,Divorced,4,0,14.0,0.0,1.0,0.0,121,Churned,Close,7–12 months,Moderate,5,1,0.221,0,Medium,2190
50008,1,10.19,Phone,1,6.0,CC,Male,3.0,3,Mobile Phone,2,Divorced,3,1,16.0,2.0,2.0,0.0,123,Churned,Very close,7–12 months,Moderate,5,2,0.2975,0,Medium,1893
50009,1,13.0,Phone,3,9.0,E wallet,Male,2.93,4,Mobile Phone,3,Divorced,2,1,14.0,0.0,1.0,2.0,127,Churned,Very close,13–24 months,Moderate,5,1,0.8266,1,High,472
50010,1,10.19,Phone,1,31.0,Debit Card,Male,2.0,5,Mobile Phone,3,Single,2,0,12.0,1.0,1.0,1.0,123,Churned,Far,7–12 months,Moderate,5,1,0.5511,1,High,1134
50011,1,4.0,Phone,1,18.0,Cash on Delivery,Female,2.0,3,Others,3,Divorced,2,0,15.71,9.0,15.0,8.0,295,Churned,Close,0–6 months,High,2,5,0.7898,1,High,581
50012,1,11.0,Phone,1,6.0,Debit Card,Male,3.0,4,Fashion,3,Single,10,1,13.0,0.0,1.0,0.0,154,Churned,Very close,7–12 months,Moderate,5,1,0.9195,1,High,228
50013,1,0.0,Phone,1,11.0,Cash on Delivery,Male,2.0,3,Mobile Phone,3,Single,2,1,13.0,2.0,2.0,2.0,134,Churned,Close,0–6 months,Moderate,5,2,0.9412,1,High,162
50014,1,0.0,Phone,1,15.0,CC,Male,3.0,4,Mobile Phone,3,Divorced,1,1,17.0,0.0,1.0,0.0,134,Churned,Close,0–6 months,Moderate,5,1,0.8096,1,High,516
50015,1,9.0,Phone,3,15.0,Credit Card,Male,3.0,4,Fashion,2,Single,2,0,16.0,0.0,4.0,7.0,196,Churned,Close,7–12 months,Moderate,2,4,0.2172,0,Medium,2210
50016,1,10.19,Phone,2,12.0,UPI,Male,3.0,3,Mobile Phone,5,Married,5,1,22.0,1.0,1.0,2.0,121,Churned,Close,7–12 months,Moderate,5,1,0.6209,1,High,986
50017,1,0.0,Computer,1,12.0,Debit Card,Female,2.93,4,Mobile Phone,2,Single,2,1,18.0,1.0,1.0,0.0,129,Churned,Close,0–6 months,Moderate,5,1,0.9242,1,High,221
50018,1,0.0,Phone,3,11.0,E wallet,Male,2.0,4,Laptop & Accessory,3,Single,2,1,11.0,1.0,1.0,3.0,157,Churned,Close,0–6 months,Moderate,4,1,0.8902,1,High,307
50019,1,0.0,Computer,1,13.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Single,2,1,24.0,1.0,1.0,6.0,161,Churned,Close,0–6 months,Moderate,2,1,0.748,1,High,676
50020,1,19.0,Phone,1,20.0,Debit Card,Female,3.0,3,Mobile Phone,4,Divorced,10,1,18.0,1.0,4.0,3.0,150,Churned,Close,13–24 months,Moderate,4,4,0.5242,1,High,1203
50021,1,0.0,Phone,3,12.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Divorced,5,1,18.0,6.0,7.0,7.0,162,Churned,Close,0–6 months,Moderate,2,5,0.9228,1,High,223
50022,1,20.0,Phone,1,29.0,Credit Card,Female,3.0,3,Fashion,2,Divorced,2,0,12.0,11.0,15.0,6.0,203,Churned,Moderate,13–24 months,High,2,5,0.2272,0,Medium,2160
50023,1,10.19,Phone,3,28.0,E wallet,Male,2.0,3,Mobile Phone,3,Single,2,1,19.0,0.0,1.0,0.0,117,Churned,Moderate,7–12 months,Moderate,5,1,0.9305,1,High,200
50024,1,0.0,Phone,3,26.0,Debit Card,Female,3.0,5,Laptop & Accessory,3,Divorced,4,1,11.0,1.0,2.0,2.0,146,Churned,Moderate,0–6 months,Moderate,5,2,0.9515,1,High,134
50025,1,14.0,Computer,1,14.0,Debit Card,Male,2.0,5,Fashion,2,Single,3,0,15.0,0.0,1.0,3.0,207,Churned,Close,13–24 months,High,4,1,0.3961,0,Medium,1549
50026,1,0.0,Phone,1,15.0,Credit Card,Female,2.0,3,Mobile Phone,5,Single,8,0,22.0,1.0,1.0,4.0,142,Churned,Close,0–6 months,Moderate,3,1,0.8281,1,High,467
50027,0,8.0,Phone,3,6.0,E wallet,Male,3.0,3,Fashion,4,Divorced,2,0,13.0,1.0,1.0,6.0,173,Stayed,Very close,7–12 months,Moderate,2,1,0.3009,0,Medium,1879
50028,0,10.19,Phone,3,12.0,E wallet,Male,2.0,3,Laptop & Accessory,3,Divorced,3,1,20.0,0.0,4.0,5.0,123,Stayed,Close,7–12 months,Moderate,2,4,0.4114,0,Medium,1500
50029,0,18.0,Phone,1,15.6,Debit Card,Male,2.0,3,Laptop & Accessory,4,Married,9,0,18.0,1.0,1.0,15.0,123,Stayed,Close,13–24 months,Moderate,1,1,0.034,0,Low,3237
50030,0,5.0,Computer,3,14.0,E wallet,Female,2.0,3,Fashion,2,Single,2,0,14.0,2.0,3.0,7.0,190,Stayed,Close,0–6 months,Moderate,2,4,0.362,0,Medium,1670
50031,0,2.0,Computer,1,6.0,Cash on Delivery,Male,2.0,3,Laptop & Accessory,3,Divorced,2,0,13.0,0.0,1.0,9.0,143,Stayed,Very close,0–6 months,Moderate,1,1,0.1318,0,Medium,2611
50032,0,0.0,Phone,1,13.0,Credit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,3,0,17.0,1.0,1.0,0.0,161,Stayed,Close,0–6 months,Moderate,5,1,0.2425,0,Medium,2099
