Date,Year,Month,MonthName,YearMonth,Quarter,YearQuarter,Day,MonthYearSort
2009-01-01,2009,1,Jan,2009-01,Q1,2009-Q1,1,200901
2009-01-02,2009,1,Jan,2009-01,Q1,2009-Q1,2,200901
2009-01-03,2009,1,Jan,2009-01,Q1,2009-Q1,3,200901
2009-01-04,2009,1,Jan,2009-01,Q1,2009-Q1,4,200901
2009-01-05,2009,1,Jan,2009-01,Q1,2009-Q1,5,200901
2009-01-06,2009,1,Jan,2009-01,Q1,2009-Q1,6,200901
2009-01-07,2009,1,Jan,2009-01,Q1,2009-Q1,7,200901
2009-01-08,2009,1,Jan,2009-01,Q1,2009-Q1,8,200901
2009-01-09,2009,1,Jan,2009-01,Q1,2009-Q1,9,200901
2009-01-10,2009,1,Jan,2009-01,Q1,2009-Q1,10,200901
2009-01-11,2009,1,Jan,2009-01,Q1,2009-Q1,11,200901
2009-01-12,2009,1,Jan,2009-01,Q1,2009-Q1,12,200901
2009-01-13,2009,1,Jan,2009-01,Q1,2009-Q1,13,200901
2009-01-14,2009,1,Jan,2009-01,Q1,2009-Q1,14,200901
2009-01-15,2009,1,Jan,2009-01,Q1,2009-Q1,15,200901
2009-01-16,2009,1,Jan,2009-01,Q1,2009-Q1,16,200901
2009-01-17,2009,1,Jan,2009-01,Q1,2009-Q1,17,200901
2009-01-18,2009,1,Jan,2009-01,Q1,2009-Q1,18,200901
2009-01-19,2009,1,Jan,2009-01,Q1,2009-Q1,19,200901
2009-01-20,2009,1,Jan,2009-01,Q1,2009-Q1,20,200901
2009-01-21,2009,1,Jan,2009-01,Q1,2009-Q1,21,200901
2009-01-22,2009,1,Jan,2009-01,Q1,2009-Q1,22,200901
2009-01-23,2009,1,Jan,2009-01,Q1,2009-Q1,23,200901
2009-01-24,2009,1,Jan,2009-01,Q1,2009-Q1,24,200901
2009-01-25,2009,1,Jan,2009-01,Q1,2009-Q1,25,200901
2009-01-26,2009,1,Jan,2009-01,Q1,2009-Q1,26,200901
2009-01-27,2009,1,Jan,2009-01,Q1,2009-Q1,27,200901
2009-01-28,2009,1,Jan,2009-01,Q1,2009-Q1,28,200901
2009-01-29,2009,1,Jan,2009-01,Q1,2009-Q1,29,200901
2009-01-30,2009,1,Jan,2009-01,Q1,2009-Q1,30,200901
2009-01-31,2009,1,Jan,2009-01,Q1,2009-Q1,31,200901
2009-02-01,2009,2,Feb,2009-02,Q1,2009-Q1,1,200902
2009-02-02,2009,2,Feb,2009-02,Q1,2009-Q1,2,200902
2009-02-03,2009,2,Feb,2009-02,Q1,2009-Q1,3,200902
2009-02-04,2009,2,Feb,2009-02,Q1,2009-Q1,4,200902
2009-02-05,2009,2,Feb,2009-02,Q1,2009-Q1,5,200902
2009-02-06,2009,2,Feb,2009-02,Q1,2009-Q1,6,200902
2009-02-07,2009,2,Feb,2009-02,Q1,2009-Q1,7,200902
2009-02-08,2009,2,Feb,2009-02,Q1,2009-Q1,8,200902
2009-02-09,2009,2,Feb,2009-02,Q1,2009-Q1,9,200902
2009-02-10,2009,2,Feb,2009-02,Q1,2009-Q1,10,200902
2009-02-11,2009,2,Feb,2009-02,Q1,2009-Q1,11,200902
2009-02-12,2009,2,Feb,2009-02,Q1,2009-Q1,12,200902
2009-02-13,2009,2,Feb,2009-02,Q1,2009-Q1,13,200902
2009-02-14,2009,2,Feb,2009-02,Q1,2009-Q1,14,200902
2009-02-15,2009,2,Feb,2009-02,Q1,2009-Q1,15,200902
2009-02-16,2009,2,Feb,2009-02,Q1,2009-Q1,16,200902
2009-02-17,2009,2,Feb,2009-02,Q1,2009-Q1,17,200902
2009-02-18,2009,2,Feb,2009-02,Q1,2009-Q1,18,200902
2009-02-19,2009,2,Feb,2009-02,Q1,2009-Q1,19,200902
2009-02-20,2009,2,Feb,2009-02,Q1,2009-Q1,20,200902
2009-02-21,2009,2,Feb,2009-02,Q1,2009-Q1,21,200902
2009-02-22,2009,2,Feb,2009-02,Q1,2009-Q1,22,200902
2009-02-23,2009,2,Feb,2009-02,Q1,2009-Q1,23,200902
2009-02-24,2009,2,Feb,2009-02,Q1,2009-Q1,24,200902
2009-02-25,2009,2,Feb,2009-02,Q1,2009-Q1,25,200902
2009-02-26,2009,2,Feb,2009-02,Q1,2009-Q1,26,200902
2009-02-27,2009,2,Feb,2009-02,Q1,2009-Q1,27,200902
2009-02-28,2009,2,Feb,2009-02,Q1,2009-Q1,28,200902
2009-03-01,2009,3,Mar,2009-03,Q1,2009-Q1,1,200903
2009-03-02,2009,3,Mar,2009-03,Q1,2009-Q1,2,200903
2009-03-03,2009,3,Mar,2009-03,Q1,2009-Q1,3,200903
2009-03-04,2009,3,Mar,2009-03,Q1,2009-Q1,4,200903
2009-03-05,2009,3,Mar,2009-03,Q1,2009-Q1,5,200903
2009-03-06,2009,3,Mar,2009-03,Q1,2009-Q1,6,200903
2009-03-07,2009,3,Mar,2009-03,Q1,2009-Q1,7,200903
2009-03-08,2009,3,Mar,2009-03,Q1,2009-Q1,8,200903
2009-03-09,2009,3,Mar,2009-03,Q1,2009-Q1,9,200903
2009-03-10,2009,3,Mar,2009-03,Q1,2009-Q1,10,200903
2009-03-11,2009,3,Mar,2009-03,Q1,2009-Q1,11,200903
2009-03-12,2009,3,Mar,2009-03,Q1,2009-Q1,12,200903
2009-03-13,2009,3,Mar,2009-03,Q1,2009-Q1,13,200903
2009-03-14,2009,3,Mar,2009-03,Q1,2009-Q1,14,200903
2009-03-15,2009,3,Mar,2009-03,Q1,2009-Q1,15,200903
2009-03-16,2009,3,Mar,2009-03,Q1,2009-Q1,16,200903
2009-03-17,2009,3,Mar,2009-03,Q1,2009-Q1,17,200903
2009-03-18,2009,3,Mar,2009-03,Q1,2009-Q1,18,200903
