OrderNumber,ProductKey,CustomerKey,OrderDate,ShippingDate,DueDate,SalesAmount,Quantity,Price
SO43697,80,10769,2010-12-29,2011-01-05,2011-01-10,3578,1,3578
SO43698,36,17390,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43699,36,14864,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43700,47,3502,2010-12-29,2011-01-05,2011-01-10,699,1,699
SO43701,36,4,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43702,76,16646,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43703,80,5625,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43704,33,6,2010-12-30,2011-01-06,2011-01-11,3375,1,3375
SO43705,34,12,2010-12-30,2011-01-06,2011-01-11,3400,1,3400
SO43706,77,16622,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43707,77,16617,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43708,50,9043,2010-12-31,2011-01-07,2011-01-12,699,1,699
SO43709,78,5352,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43710,79,5518,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43711,79,16607,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43712,76,2514,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43713,80,16602,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43714,76,2592,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43715,79,5484,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43716,76,5530,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43717,47,14250,2011-01-02,2011-01-09,2011-01-14,699,1,699
SO43718,76,16669,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43719,77,16613,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43720,76,2265,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43721,80,2591,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43722,77,2582,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43723,45,3521,2011-01-04,2011-01-11,2011-01-16,699,1,699
SO43724,76,5521,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43725,76,2259,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43726,45,3561,2011-01-05,2011-01-12,2011-01-17,699,1,699
SO43727,76,5608,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43728,78,16667,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43729,36,239,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
