SellerState,CustomerState,Orders,LateRate,AvgLeadTime,AvgFreight
PR,AL,36,0.3056,29.2,48.99
SP,AL,255,0.2392,25.0,36.63
RJ,CE,54,0.2037,24.9,35.6
MA,SP,123,0.2033,16.1,33.87
DF,SC,21,0.1905,17.9,29.42
PR,SE,21,0.1905,23.1,37.8
SP,MA,491,0.1894,22.0,42.82
MA,DF,27,0.1852,16.1,24.48
SC,CE,22,0.1818,27.9,68.48
MG,AL,35,0.1714,22.0,57.06
PR,MA,42,0.1667,22.1,46.2
SP,PI,329,0.1641,20.3,41.41
SP,SE,208,0.1635,21.2,43.64
SP,RR,33,0.1515,31.6,47.07
PR,RN,20,0.15,24.8,38.32
MG,MA,61,0.1475,20.1,53.05
PR,BA,143,0.1469,21.8,51.08
MA,PE,21,0.1429,15.5,24.27
RS,BA,42,0.1429,21.0,59.49
SP,RJ,8158,0.1412,16.2,23.51
PR,CE,64,0.1406,25.1,47.11
SP,CE,969,0.1373,21.2,34.85
RJ,RN,22,0.1364,17.9,37.64
DF,RS,22,0.1364,17.7,33.85
RJ,PI,22,0.1364,17.1,43.55
MA,MG,31,0.129,17.4,35.27
SP,BA,2307,0.1287,19.8,27.66
PR,PB,40,0.125,22.2,48.26
MG,PB,48,0.125,19.5,50.46
SP,MS,477,0.1237,15.9,25.34
MG,CE,73,0.1233,20.7,41.98
SP,ES,1461,0.1232,15.7,22.8
PR,RJ,963,0.1215,17.2,25.83
SP,PA,681,0.1204,23.2,35.64
SC,BA,77,0.1169,20.7,47.72
SC,MT,26,0.1154,21.0,50.87
RJ,BA,135,0.1111,16.9,30.7
MG,SE,36,0.1111,25.3,48.55
PR,PA,54,0.1111,25.4,57.51
MG,PA,83,0.1084,27.3,48.67
RJ,MA,28,0.1071,20.2,37.76
SP,TO,198,0.1061,17.7,42.95
PR,PE,86,0.1047,19.4,50.29
SP,PB,336,0.1042,20.7,49.86
SP,RN,332,0.0994,20.4,41.21
RJ,PE,91,0.0989,16.9,44.2
MG,BA,366,0.0984,18.4,29.87
SP,PE,1133,0.098,18.9,34.06
RJ,SC,113,0.0973,15.0,26.8
SP,SC,2327,0.0954,15.8,24.25
RJ,MS,32,0.0938,16.7,32.4
SC,RJ,470,0.0915,16.3,29.21
RJ,RS,198,0.0859,15.7,24.02
ES,RJ,59,0.0847,12.6,31.76
RJ,PR,202,0.0842,12.9,22.5
RJ,DF,96,0.0833,14.4,19.74
MG,RJ,1134,0.0829,14.1,27.53
PR,ES,110,0.0818,17.6,34.91
ES,SP,100,0.08,12.0,34.25
MG,MT,50,0.08,21.4,45.78
RJ,SP,1320,0.078,11.8,21.21
BA,BA,66,0.0758,10.4,19.05
SP,GO,1420,0.0746,15.9,23.88
DF,RJ,96,0.0729,13.9,21.79
MG,PE,110,0.0727,16.5,37.61
GO,DF,28,0.0714,9.2,15.87
PE,RJ,42,0.0714,14.2,32.76
RS,RJ,246,0.0691,14.0,30.5
RJ,MT,29,0.069,21.6,29.34
SP,RS,3596,0.0662,16.1,23.71
SP,DF,1383,0.0644,13.2,22.66
MG,SC,251,0.0637,17.2,32.48
BA,PE,32,0.0625,16.8,28.56
RJ,MG,551,0.0599,12.1,20.54
SP,MT,653,0.0597,17.7,29.72
DF,BA,35,0.0571,18.1,27.34
RJ,GO,109,0.055,15.0,24.17
SC,GO,55,0.0545,17.8,49.83
RJ,PA,37,0.0541,21.6,40.89
PR,SC,390,0.0538,13.3,23.27
GO,RJ,56,0.0536,14.6,26.66
SP,MG,7440,0.0528,12.3,23.3
SC,PE,38,0.0526,19.6,52.48
RS,PR,138,0.0507,10.3,21.91
PR,MT,60,0.05,18.0,42.86
MA,RJ,41,0.0488,16.7,30.47
MG,MS,62,0.0484,16.1,31.51
BA,RJ,83,0.0482,13.3,35.37
SC,RS,293,0.0478,12.8,25.31
RS,PA,21,0.0476,24.5,47.5
RJ,RJ,956,0.0471,6.5,14.23
MG,ES,171,0.0468,16.3,28.9
SP,SP,30735,0.0465,7.9,15.21
PR,GO,87,0.046,15.9,38.49
BA,RS,22,0.0455,18.3,67.91
RS,MT,22,0.0455,16.0,52.84
SP,PR,3119,0.0442,12.7,23.61
PE,PE,23,0.0435,6.7,13.09
CE,SP,23,0.0435,14.9,55.51
MG,RS,278,0.0432,17.1,36.29
SC,SC,255,0.0431,8.6,19.96
PR,RS,576,0.0417,13.3,24.88
RS,ES,24,0.0417,12.4,36.27
DF,DF,49,0.0408,5.0,10.82
SP,AP,49,0.0408,28.1,39.99
SC,ES,50,0.04,14.8,35.15
PR,MG,817,0.0392,13.8,26.4
SC,SP,1305,0.0368,12.0,24.96
BA,SP,137,0.0365,11.4,37.63
PR,MS,55,0.0364,12.9,28.21
MG,SP,2546,0.0357,10.9,24.36
SP,AC,57,0.0351,20.7,45.28
SC,MG,428,0.035,14.6,31.76
MT,SP,30,0.0333,12.9,37.94
MG,DF,186,0.0323,11.9,25.19
SC,MS,31,0.0323,15.0,32.66
MG,PI,32,0.0312,16.0,42.36
PR,SP,2924,0.0308,11.1,22.0
SP,AM,99,0.0303,25.8,34.04
SP,RO,169,0.0296,19.3,46.79
RS,RS,288,0.0278,7.3,17.96
PR,DF,150,0.0267,13.4,33.5
MG,GO,150,0.0267,14.1,32.8
PR,PR,714,0.0266,8.2,18.01
MG,MG,1525,0.0249,8.6,18.72
SC,PR,285,0.0246,11.1,24.87
DF,SP,308,0.0227,10.8,20.89
RS,DF,47,0.0213,13.5,31.67
RJ,ES,99,0.0202,12.5,21.21
PE,SP,104,0.0192,11.8,31.33
RS,MG,187,0.016,11.7,34.12
GO,SP,126,0.0159,10.8,28.61
RS,SP,667,0.012,10.1,26.47
MG,PR,363,0.011,12.7,28.69
DF,MG,102,0.0098,9.3,19.37
BA,MG,51,0.0,10.4,36.31
GO,MG,83,0.0,10.4,23.68
GO,GO,31,0.0,5.1,14.91
ES,MG,43,0.0,10.7,36.96
ES,BA,23,0.0,13.1,47.82
DF,PR,27,0.0,12.3,29.56
DF,GO,30,0.0,9.1,19.34
MG,RN,29,0.0,16.0,43.26
PE,MG,62,0.0,11.6,33.83
PR,PI,25,0.0,17.6,71.15
MT,MG,20,0.0,13.2,33.41
PE,BA,26,0.0,11.7,26.89
SC,DF,69,0.0,13.2,33.76
RJ,PB,24,0.0,14.7,37.53
RS,SC,116,0.0,9.3,22.77
RN,RN,21,0.0,4.6,9.52
RS,GO,23,0.0,16.2,37.76
