WeekStart,Orders
2016-09-12,1
2016-10-03,231
2016-10-10,34
2016-12-19,1
2017-01-02,44
2017-01-09,73
2017-01-16,189
2017-01-23,332
2017-01-30,432
2017-02-06,511
2017-02-13,379
2017-02-20,349
2017-02-27,461
2017-03-06,548
2017-03-13,591
2017-03-20,624
2017-03-27,546
2017-04-03,563
2017-04-10,421
2017-04-17,545
2017-04-24,644
2017-05-01,750
2017-05-08,753
2017-05-15,916
2017-05-22,759
2017-05-29,800
2017-06-05,814
2017-06-12,726
2017-06-19,635
2017-06-26,706
2017-07-03,794
2017-07-10,926
2017-07-17,937
2017-07-24,893
2017-07-31,954
2017-08-07,911
2017-08-14,1008
2017-08-21,862
2017-08-28,979
2017-09-04,879
2017-09-11,1136
2017-09-18,956
2017-09-25,925
2017-10-02,975
2017-10-09,1030
2017-10-16,1105
2017-10-23,950
2017-10-30,900
2017-11-06,1168
2017-11-13,1259
2017-11-20,2915
2017-11-27,2046
2017-12-04,1631
2017-12-11,1367
2017-12-18,952
2017-12-25,857
2018-01-01,1341
2018-01-08,1738
2018-01-15,1704
2018-01-22,1545
2018-01-29,1561
2018-02-05,1541
2018-02-12,1595
2018-02-19,1713
2018-02-26,1849
2018-03-05,1598
2018-03-12,1541
2018-03-19,1671
2018-03-26,1431
2018-04-02,1555
2018-04-09,1522
2018-04-16,1637
2018-04-23,1648
2018-04-30,1734
2018-05-07,1943
2018-05-14,1805
2018-05-21,941
2018-05-28,1075
2018-06-04,1421
2018-06-11,1497
2018-06-18,1442
2018-06-25,1378
2018-07-02,1178
2018-07-09,972
2018-07-16,1649
2018-07-23,1610
2018-07-30,2002
2018-08-06,1931
2018-08-13,1839
2018-08-20,1054
2018-08-27,116
