WeekStart,Actual,Forecast,Lo80,Hi80,Lo95,Hi95,BandWidth,IsFuture
2017-01-23,332.0,,,,,,,0
2017-01-30,432.0,,,,,,,0
2017-02-06,511.0,,,,,,,0
2017-02-13,379.0,,,,,,,0
2017-02-20,349.0,,,,,,,0
2017-02-27,461.0,,,,,,,0
2017-03-06,548.0,,,,,,,0
2017-03-13,591.0,,,,,,,0
2017-03-20,624.0,,,,,,,0
2017-03-27,546.0,,,,,,,0
2017-04-03,563.0,,,,,,,0
2017-04-10,421.0,,,,,,,0
2017-04-17,545.0,,,,,,,0
2017-04-24,644.0,,,,,,,0
2017-05-01,750.0,,,,,,,0
2017-05-08,753.0,,,,,,,0
2017-05-15,916.0,,,,,,,0
2017-05-22,759.0,,,,,,,0
2017-05-29,800.0,,,,,,,0
2017-06-05,814.0,,,,,,,0
2017-06-12,726.0,,,,,,,0
2017-06-19,635.0,,,,,,,0
2017-06-26,706.0,,,,,,,0
2017-07-03,794.0,,,,,,,0
2017-07-10,926.0,,,,,,,0
2017-07-17,937.0,,,,,,,0
2017-07-24,893.0,,,,,,,0
2017-07-31,954.0,,,,,,,0
2017-08-07,911.0,,,,,,,0
2017-08-14,1008.0,,,,,,,0
2017-08-21,862.0,,,,,,,0
2017-08-28,979.0,,,,,,,0
2017-09-04,879.0,,,,,,,0
2017-09-11,1136.0,,,,,,,0
2017-09-18,956.0,,,,,,,0
2017-09-25,925.0,,,,,,,0
2017-10-02,975.0,,,,,,,0
2017-10-09,1030.0,,,,,,,0
2017-10-16,1105.0,,,,,,,0
2017-10-23,950.0,,,,,,,0
2017-10-30,900.0,,,,,,,0
2017-11-06,1168.0,,,,,,,0
2017-11-13,1259.0,,,,,,,0
2017-11-20,2915.0,,,,,,,0
2017-11-27,2046.0,,,,,,,0
2017-12-04,1631.0,,,,,,,0
2017-12-11,1367.0,,,,,,,0
2017-12-18,952.0,,,,,,,0
2017-12-25,857.0,,,,,,,0
2018-01-01,1341.0,,,,,,,0
2018-01-08,1738.0,,,,,,,0
2018-01-15,1704.0,,,,,,,0
2018-01-22,1545.0,,,,,,,0
2018-01-29,1561.0,,,,,,,0
2018-02-05,1541.0,,,,,,,0
2018-02-12,1595.0,,,,,,,0
2018-02-19,1713.0,,,,,,,0
2018-02-26,1849.0,,,,,,,0
2018-03-05,1598.0,,,,,,,0
2018-03-12,1541.0,,,,,,,0
2018-03-19,1671.0,,,,,,,0
2018-03-26,1431.0,,,,,,,0
2018-04-02,1555.0,,,,,,,0
2018-04-09,1522.0,,,,,,,0
2018-04-16,1637.0,,,,,,,0
2018-04-23,1648.0,,,,,,,0
2018-04-30,1734.0,,,,,,,0
2018-05-07,1943.0,,,,,,,0
2018-05-14,1805.0,,,,,,,0
2018-05-21,941.0,,,,,,,0
2018-05-28,1075.0,,,,,,,0
2018-06-04,1421.0,1268.5,908.5,1628.5,717.9,1819.1,720.0,0
2018-06-11,1497.0,1409.8,998.2,1821.3,780.4,2039.1,823.0,0
2018-06-18,1442.0,1494.4,1067.0,1921.9,840.7,2148.2,854.9,0
2018-06-25,1378.0,1569.6,1136.4,2002.9,907.0,2232.3,866.6,0
2018-07-02,1178.0,1576.9,1141.3,2012.6,910.6,2243.2,871.3,0
2018-07-09,972.0,1588.8,1152.1,2025.6,920.9,2256.8,873.5,0
2018-07-16,1649.0,1607.6,1170.4,2044.9,938.9,2276.4,874.5,0
2018-07-23,1610.0,1620.4,1182.9,2057.9,951.3,2289.5,875.0,0
2018-07-30,2002.0,1705.2,1267.5,2142.8,1035.8,2374.5,875.3,0
2018-08-06,1931.0,1666.4,1228.7,2104.2,997.0,2335.9,875.4,0
2018-08-13,1839.0,1588.5,1150.8,2026.3,919.0,2258.0,875.5,0
2018-08-20,1054.0,1574.6,1136.9,2012.4,905.1,2244.1,875.5,0
2018-08-27,,1304.7,941.4,1667.9,749.1,1860.3,726.6,1
2018-09-03,,1440.7,1030.2,1851.2,812.9,2068.5,821.0,1
2018-09-10,,1497.7,1074.2,1921.2,850.0,2145.4,847.0,1
2018-09-17,,1546.0,1118.3,1973.6,892.0,2200.0,855.3,1
2018-09-24,,1526.8,1097.7,1956.0,870.5,2183.2,858.3,1
2018-10-01,,1508.4,1078.6,1938.1,851.1,2165.6,859.5,1
2018-10-08,,1612.2,1182.2,2042.2,954.5,2269.9,860.1,1
2018-10-15,,1615.7,1185.6,2045.9,957.9,2273.6,860.3,1
