Date,Year,Month,MonthName,YearMonth,Quarter,YearQuarter,Day,MonthYearSort
2024-05-08,2024,5,May,2024-05,Q2,2024-Q2,8,202405
2024-05-09,2024,5,May,2024-05,Q2,2024-Q2,9,202405
2024-05-10,2024,5,May,2024-05,Q2,2024-Q2,10,202405
2024-05-11,2024,5,May,2024-05,Q2,2024-Q2,11,202405
2024-05-12,2024,5,May,2024-05,Q2,2024-Q2,12,202405
2024-05-13,2024,5,May,2024-05,Q2,2024-Q2,13,202405
2024-05-14,2024,5,May,2024-05,Q2,2024-Q2,14,202405
2024-05-15,2024,5,May,2024-05,Q2,2024-Q2,15,202405
2024-05-16,2024,5,May,2024-05,Q2,2024-Q2,16,202405
2024-05-17,2024,5,May,2024-05,Q2,2024-Q2,17,202405
2024-05-18,2024,5,May,2024-05,Q2,2024-Q2,18,202405
2024-05-19,2024,5,May,2024-05,Q2,2024-Q2,19,202405
2024-05-20,2024,5,May,2024-05,Q2,2024-Q2,20,202405
2024-05-21,2024,5,May,2024-05,Q2,2024-Q2,21,202405
2024-05-22,2024,5,May,2024-05,Q2,2024-Q2,22,202405
2024-05-23,2024,5,May,2024-05,Q2,2024-Q2,23,202405
2024-05-24,2024,5,May,2024-05,Q2,2024-Q2,24,202405
2024-05-25,2024,5,May,2024-05,Q2,2024-Q2,25,202405
2024-05-26,2024,5,May,2024-05,Q2,2024-Q2,26,202405
2024-05-27,2024,5,May,2024-05,Q2,2024-Q2,27,202405
2024-05-28,2024,5,May,2024-05,Q2,2024-Q2,28,202405
2024-05-29,2024,5,May,2024-05,Q2,2024-Q2,29,202405
2024-05-30,2024,5,May,2024-05,Q2,2024-Q2,30,202405
2024-05-31,2024,5,May,2024-05,Q2,2024-Q2,31,202405
2024-06-01,2024,6,Jun,2024-06,Q2,2024-Q2,1,202406
2024-06-02,2024,6,Jun,2024-06,Q2,2024-Q2,2,202406
2024-06-03,2024,6,Jun,2024-06,Q2,2024-Q2,3,202406
2024-06-04,2024,6,Jun,2024-06,Q2,2024-Q2,4,202406
2024-06-05,2024,6,Jun,2024-06,Q2,2024-Q2,5,202406
2024-06-06,2024,6,Jun,2024-06,Q2,2024-Q2,6,202406
2024-06-07,2024,6,Jun,2024-06,Q2,2024-Q2,7,202406
2024-06-08,2024,6,Jun,2024-06,Q2,2024-Q2,8,202406
2024-06-09,2024,6,Jun,2024-06,Q2,2024-Q2,9,202406
2024-06-10,2024,6,Jun,2024-06,Q2,2024-Q2,10,202406
2024-06-11,2024,6,Jun,2024-06,Q2,2024-Q2,11,202406
2024-06-12,2024,6,Jun,2024-06,Q2,2024-Q2,12,202406
2024-06-13,2024,6,Jun,2024-06,Q2,2024-Q2,13,202406
2024-06-14,2024,6,Jun,2024-06,Q2,2024-Q2,14,202406
2024-06-15,2024,6,Jun,2024-06,Q2,2024-Q2,15,202406
2024-06-16,2024,6,Jun,2024-06,Q2,2024-Q2,16,202406
2024-06-17,2024,6,Jun,2024-06,Q2,2024-Q2,17,202406
2024-06-18,2024,6,Jun,2024-06,Q2,2024-Q2,18,202406
2024-06-19,2024,6,Jun,2024-06,Q2,2024-Q2,19,202406
2024-06-20,2024,6,Jun,2024-06,Q2,2024-Q2,20,202406
2024-06-21,2024,6,Jun,2024-06,Q2,2024-Q2,21,202406
2024-06-22,2024,6,Jun,2024-06,Q2,2024-Q2,22,202406
2024-06-23,2024,6,Jun,2024-06,Q2,2024-Q2,23,202406
2024-06-24,2024,6,Jun,2024-06,Q2,2024-Q2,24,202406
2024-06-25,2024,6,Jun,2024-06,Q2,2024-Q2,25,202406
2024-06-26,2024,6,Jun,2024-06,Q2,2024-Q2,26,202406
2024-06-27,2024,6,Jun,2024-06,Q2,2024-Q2,27,202406
2024-06-28,2024,6,Jun,2024-06,Q2,2024-Q2,28,202406
2024-06-29,2024,6,Jun,2024-06,Q2,2024-Q2,29,202406
2024-06-30,2024,6,Jun,2024-06,Q2,2024-Q2,30,202406
2024-07-01,2024,7,Jul,2024-07,Q3,2024-Q3,1,202407
2024-07-02,2024,7,Jul,2024-07,Q3,2024-Q3,2,202407
2024-07-03,2024,7,Jul,2024-07,Q3,2024-Q3,3,202407
2024-07-04,2024,7,Jul,2024-07,Q3,2024-Q3,4,202407
2024-07-05,2024,7,Jul,2024-07,Q3,2024-Q3,5,202407
2024-07-06,2024,7,Jul,2024-07,Q3,2024-Q3,6,202407
2024-07-07,2024,7,Jul,2024-07,Q3,2024-Q3,7,202407
2024-07-08,2024,7,Jul,2024-07,Q3,2024-Q3,8,202407
2024-07-09,2024,7,Jul,2024-07,Q3,2024-Q3,9,202407
2024-07-10,2024,7,Jul,2024-07,Q3,2024-Q3,10,202407
2024-07-11,2024,7,Jul,2024-07,Q3,2024-Q3,11,202407
2024-07-12,2024,7,Jul,2024-07,Q3,2024-Q3,12,202407
2024-07-13,2024,7,Jul,2024-07,Q3,2024-Q3,13,202407
2024-07-14,2024,7,Jul,2024-07,Q3,2024-Q3,14,202407
2024-07-15,2024,7,Jul,2024-07,Q3,2024-Q3,15,202407
2024-07-16,2024,7,Jul,2024-07,Q3,2024-Q3,16,202407
2024-07-17,2024,7,Jul,2024-07,Q3,2024-Q3,17,202407
2024-07-18,2024,7,Jul,2024-07,Q3,2024-Q3,18,202407
2024-07-19,2024,7,Jul,2024-07,Q3,2024-Q3,19,202407
2024-07-20,2024,7,Jul,2024-07,Q3,2024-Q3,20,202407
2024-07-21,2024,7,Jul,2024-07,Q3,2024-Q3,21,202407
2024-07-22,2024,7,Jul,2024-07,Q3,2024-Q3,22,202407
2024-07-23,2024,7,Jul,2024-07,Q3,2024-Q3,23,202407
2024-07-24,2024,7,Jul,2024-07,Q3,2024-Q3,24,202407
2024-07-25,2024,7,Jul,2024-07,Q3,2024-Q3,25,202407
2024-07-26,2024,7,Jul,2024-07,Q3,2024-Q3,26,202407
2024-07-27,2024,7,Jul,2024-07,Q3,2024-Q3,27,202407
2024-07-28,2024,7,Jul,2024-07,Q3,2024-Q3,28,202407
2024-07-29,2024,7,Jul,2024-07,Q3,2024-Q3,29,202407
2024-07-30,2024,7,Jul,2024-07,Q3,2024-Q3,30,202407
2024-07-31,2024,7,Jul,2024-07,Q3,2024-Q3,31,202407
2024-08-01,2024,8,Aug,2024-08,Q3,2024-Q3,1,202408
2024-08-02,2024,8,Aug,2024-08,Q3,2024-Q3,2,202408
2024-08-03,2024,8,Aug,2024-08,Q3,2024-Q3,3,202408
2024-08-04,2024,8,Aug,2024-08,Q3,2024-Q3,4,202408
2024-08-05,2024,8,Aug,2024-08,Q3,2024-Q3,5,202408
2024-08-06,2024,8,Aug,2024-08,Q3,2024-Q3,6,202408
2024-08-07,2024,8,Aug,2024-08,Q3,2024-Q3,7,202408
2024-08-08,2024,8,Aug,2024-08,Q3,2024-Q3,8,202408
2024-08-09,2024,8,Aug,2024-08,Q3,2024-Q3,9,202408
2024-08-10,2024,8,Aug,2024-08,Q3,2024-Q3,10,202408
2024-08-11,2024,8,Aug,2024-08,Q3,2024-Q3,11,202408
