Date,Year,Month,MonthName,YearMonth,Quarter,YearQuarter,Day,MonthYearSort
2023-01-01,2023,1,Jan,2023-01,Q1,2023Q1,1,202301
2023-01-02,2023,1,Jan,2023-01,Q1,2023Q1,2,202301
2023-01-03,2023,1,Jan,2023-01,Q1,2023Q1,3,202301
2023-01-04,2023,1,Jan,2023-01,Q1,2023Q1,4,202301
2023-01-05,2023,1,Jan,2023-01,Q1,2023Q1,5,202301
2023-01-06,2023,1,Jan,2023-01,Q1,2023Q1,6,202301
2023-01-07,2023,1,Jan,2023-01,Q1,2023Q1,7,202301
2023-01-08,2023,1,Jan,2023-01,Q1,2023Q1,8,202301
2023-01-09,2023,1,Jan,2023-01,Q1,2023Q1,9,202301
2023-01-10,2023,1,Jan,2023-01,Q1,2023Q1,10,202301
2023-01-11,2023,1,Jan,2023-01,Q1,2023Q1,11,202301
2023-01-12,2023,1,Jan,2023-01,Q1,2023Q1,12,202301
2023-01-13,2023,1,Jan,2023-01,Q1,2023Q1,13,202301
2023-01-14,2023,1,Jan,2023-01,Q1,2023Q1,14,202301
2023-01-15,2023,1,Jan,2023-01,Q1,2023Q1,15,202301
2023-01-16,2023,1,Jan,2023-01,Q1,2023Q1,16,202301
2023-01-17,2023,1,Jan,2023-01,Q1,2023Q1,17,202301
2023-01-18,2023,1,Jan,2023-01,Q1,2023Q1,18,202301
2023-01-19,2023,1,Jan,2023-01,Q1,2023Q1,19,202301
2023-01-20,2023,1,Jan,2023-01,Q1,2023Q1,20,202301
2023-01-21,2023,1,Jan,2023-01,Q1,2023Q1,21,202301
2023-01-22,2023,1,Jan,2023-01,Q1,2023Q1,22,202301
2023-01-23,2023,1,Jan,2023-01,Q1,2023Q1,23,202301
2023-01-24,2023,1,Jan,2023-01,Q1,2023Q1,24,202301
2023-01-25,2023,1,Jan,2023-01,Q1,2023Q1,25,202301
2023-01-26,2023,1,Jan,2023-01,Q1,2023Q1,26,202301
2023-01-27,2023,1,Jan,2023-01,Q1,2023Q1,27,202301
2023-01-28,2023,1,Jan,2023-01,Q1,2023Q1,28,202301
2023-01-29,2023,1,Jan,2023-01,Q1,2023Q1,29,202301
2023-01-30,2023,1,Jan,2023-01,Q1,2023Q1,30,202301
2023-01-31,2023,1,Jan,2023-01,Q1,2023Q1,31,202301
2023-02-01,2023,2,Feb,2023-02,Q1,2023Q1,1,202302
2023-02-02,2023,2,Feb,2023-02,Q1,2023Q1,2,202302
2023-02-03,2023,2,Feb,2023-02,Q1,2023Q1,3,202302
2023-02-04,2023,2,Feb,2023-02,Q1,2023Q1,4,202302
2023-02-05,2023,2,Feb,2023-02,Q1,2023Q1,5,202302
2023-02-06,2023,2,Feb,2023-02,Q1,2023Q1,6,202302
2023-02-07,2023,2,Feb,2023-02,Q1,2023Q1,7,202302
2023-02-08,2023,2,Feb,2023-02,Q1,2023Q1,8,202302
2023-02-09,2023,2,Feb,2023-02,Q1,2023Q1,9,202302
2023-02-10,2023,2,Feb,2023-02,Q1,2023Q1,10,202302
2023-02-11,2023,2,Feb,2023-02,Q1,2023Q1,11,202302
2023-02-12,2023,2,Feb,2023-02,Q1,2023Q1,12,202302
2023-02-13,2023,2,Feb,2023-02,Q1,2023Q1,13,202302
2023-02-14,2023,2,Feb,2023-02,Q1,2023Q1,14,202302
2023-02-15,2023,2,Feb,2023-02,Q1,2023Q1,15,202302
2023-02-16,2023,2,Feb,2023-02,Q1,2023Q1,16,202302
2023-02-17,2023,2,Feb,2023-02,Q1,2023Q1,17,202302
2023-02-18,2023,2,Feb,2023-02,Q1,2023Q1,18,202302
2023-02-19,2023,2,Feb,2023-02,Q1,2023Q1,19,202302
2023-02-20,2023,2,Feb,2023-02,Q1,2023Q1,20,202302
2023-02-21,2023,2,Feb,2023-02,Q1,2023Q1,21,202302
2023-02-22,2023,2,Feb,2023-02,Q1,2023Q1,22,202302
2023-02-23,2023,2,Feb,2023-02,Q1,2023Q1,23,202302
2023-02-24,2023,2,Feb,2023-02,Q1,2023Q1,24,202302
2023-02-25,2023,2,Feb,2023-02,Q1,2023Q1,25,202302
2023-02-26,2023,2,Feb,2023-02,Q1,2023Q1,26,202302
2023-02-27,2023,2,Feb,2023-02,Q1,2023Q1,27,202302
2023-02-28,2023,2,Feb,2023-02,Q1,2023Q1,28,202302
2023-03-01,2023,3,Mar,2023-03,Q1,2023Q1,1,202303
2023-03-02,2023,3,Mar,2023-03,Q1,2023Q1,2,202303
2023-03-03,2023,3,Mar,2023-03,Q1,2023Q1,3,202303
2023-03-04,2023,3,Mar,2023-03,Q1,2023Q1,4,202303
2023-03-05,2023,3,Mar,2023-03,Q1,2023Q1,5,202303
2023-03-06,2023,3,Mar,2023-03,Q1,2023Q1,6,202303
2023-03-07,2023,3,Mar,2023-03,Q1,2023Q1,7,202303
2023-03-08,2023,3,Mar,2023-03,Q1,2023Q1,8,202303
2023-03-09,2023,3,Mar,2023-03,Q1,2023Q1,9,202303
2023-03-10,2023,3,Mar,2023-03,Q1,2023Q1,10,202303
2023-03-11,2023,3,Mar,2023-03,Q1,2023Q1,11,202303
2023-03-12,2023,3,Mar,2023-03,Q1,2023Q1,12,202303
2023-03-13,2023,3,Mar,2023-03,Q1,2023Q1,13,202303
2023-03-14,2023,3,Mar,2023-03,Q1,2023Q1,14,202303
2023-03-15,2023,3,Mar,2023-03,Q1,2023Q1,15,202303
2023-03-16,2023,3,Mar,2023-03,Q1,2023Q1,16,202303
2023-03-17,2023,3,Mar,2023-03,Q1,2023Q1,17,202303
2023-03-18,2023,3,Mar,2023-03,Q1,2023Q1,18,202303
2023-03-19,2023,3,Mar,2023-03,Q1,2023Q1,19,202303
2023-03-20,2023,3,Mar,2023-03,Q1,2023Q1,20,202303
2023-03-21,2023,3,Mar,2023-03,Q1,2023Q1,21,202303
2023-03-22,2023,3,Mar,2023-03,Q1,2023Q1,22,202303
2023-03-23,2023,3,Mar,2023-03,Q1,2023Q1,23,202303
2023-03-24,2023,3,Mar,2023-03,Q1,2023Q1,24,202303
2023-03-25,2023,3,Mar,2023-03,Q1,2023Q1,25,202303
2023-03-26,2023,3,Mar,2023-03,Q1,2023Q1,26,202303
2023-03-27,2023,3,Mar,2023-03,Q1,2023Q1,27,202303
2023-03-28,2023,3,Mar,2023-03,Q1,2023Q1,28,202303
2023-03-29,2023,3,Mar,2023-03,Q1,2023Q1,29,202303
2023-03-30,2023,3,Mar,2023-03,Q1,2023Q1,30,202303
2023-03-31,2023,3,Mar,2023-03,Q1,2023Q1,31,202303
2023-04-01,2023,4,Apr,2023-04,Q2,2023Q2,1,202304
2023-04-02,2023,4,Apr,2023-04,Q2,2023Q2,2,202304
2023-04-03,2023,4,Apr,2023-04,Q2,2023Q2,3,202304
2023-04-04,2023,4,Apr,2023-04,Q2,2023Q2,4,202304
2023-04-05,2023,4,Apr,2023-04,Q2,2023Q2,5,202304
2023-04-06,2023,4,Apr,2023-04,Q2,2023Q2,6,202304
2023-04-07,2023,4,Apr,2023-04,Q2,2023Q2,7,202304
2023-04-08,2023,4,Apr,2023-04,Q2,2023Q2,8,202304
2023-04-09,2023,4,Apr,2023-04,Q2,2023Q2,9,202304
2023-04-10,2023,4,Apr,2023-04,Q2,2023Q2,10,202304
2023-04-11,2023,4,Apr,2023-04,Q2,2023Q2,11,202304
2023-04-12,2023,4,Apr,2023-04,Q2,2023Q2,12,202304
2023-04-13,2023,4,Apr,2023-04,Q2,2023Q2,13,202304
2023-04-14,2023,4,Apr,2023-04,Q2,2023Q2,14,202304
2023-04-15,2023,4,Apr,2023-04,Q2,2023Q2,15,202304
2023-04-16,2023,4,Apr,2023-04,Q2,2023Q2,16,202304
2023-04-17,2023,4,Apr,2023-04,Q2,2023Q2,17,202304
2023-04-18,2023,4,Apr,2023-04,Q2,2023Q2,18,202304
2023-04-19,2023,4,Apr,2023-04,Q2,2023Q2,19,202304
2023-04-20,2023,4,Apr,2023-04,Q2,2023Q2,20,202304
2023-04-21,2023,4,Apr,2023-04,Q2,2023Q2,21,202304
2023-04-22,2023,4,Apr,2023-04,Q2,2023Q2,22,202304
2023-04-23,2023,4,Apr,2023-04,Q2,2023Q2,23,202304
2023-04-24,2023,4,Apr,2023-04,Q2,2023Q2,24,202304
2023-04-25,2023,4,Apr,2023-04,Q2,2023Q2,25,202304
2023-04-26,2023,4,Apr,2023-04,Q2,2023Q2,26,202304
2023-04-27,2023,4,Apr,2023-04,Q2,2023Q2,27,202304
2023-04-28,2023,4,Apr,2023-04,Q2,2023Q2,28,202304
2023-04-29,2023,4,Apr,2023-04,Q2,2023Q2,29,202304
2023-04-30,2023,4,Apr,2023-04,Q2,2023Q2,30,202304
2023-05-01,2023,5,May,2023-05,Q2,2023Q2,1,202305
2023-05-02,2023,5,May,2023-05,Q2,2023Q2,2,202305
2023-05-03,2023,5,May,2023-05,Q2,2023Q2,3,202305
2023-05-04,2023,5,May,2023-05,Q2,2023Q2,4,202305
2023-05-05,2023,5,May,2023-05,Q2,2023Q2,5,202305
2023-05-06,2023,5,May,2023-05,Q2,2023Q2,6,202305
2023-05-07,2023,5,May,2023-05,Q2,2023Q2,7,202305
2023-05-08,2023,5,May,2023-05,Q2,2023Q2,8,202305
2023-05-09,2023,5,May,2023-05,Q2,2023Q2,9,202305
2023-05-10,2023,5,May,2023-05,Q2,2023Q2,10,202305
2023-05-11,2023,5,May,2023-05,Q2,2023Q2,11,202305
2023-05-12,2023,5,May,2023-05,Q2,2023Q2,12,202305
2023-05-13,2023,5,May,2023-05,Q2,2023Q2,13,202305
2023-05-14,2023,5,May,2023-05,Q2,2023Q2,14,202305
2023-05-15,2023,5,May,2023-05,Q2,2023Q2,15,202305
2023-05-16,2023,5,May,2023-05,Q2,2023Q2,16,202305
2023-05-17,2023,5,May,2023-05,Q2,2023Q2,17,202305
2023-05-18,2023,5,May,2023-05,Q2,2023Q2,18,202305
2023-05-19,2023,5,May,2023-05,Q2,2023Q2,19,202305
2023-05-20,2023,5,May,2023-05,Q2,2023Q2,20,202305
2023-05-21,2023,5,May,2023-05,Q2,2023Q2,21,202305
2023-05-22,2023,5,May,2023-05,Q2,2023Q2,22,202305
2023-05-23,2023,5,May,2023-05,Q2,2023Q2,23,202305
2023-05-24,2023,5,May,2023-05,Q2,2023Q2,24,202305
2023-05-25,2023,5,May,2023-05,Q2,2023Q2,25,202305
2023-05-26,2023,5,May,2023-05,Q2,2023Q2,26,202305
2023-05-27,2023,5,May,2023-05,Q2,2023Q2,27,202305
2023-05-28,2023,5,May,2023-05,Q2,2023Q2,28,202305
2023-05-29,2023,5,May,2023-05,Q2,2023Q2,29,202305
2023-05-30,2023,5,May,2023-05,Q2,2023Q2,30,202305
2023-05-31,2023,5,May,2023-05,Q2,2023Q2,31,202305
2023-06-01,2023,6,Jun,2023-06,Q2,2023Q2,1,202306
2023-06-02,2023,6,Jun,2023-06,Q2,2023Q2,2,202306
2023-06-03,2023,6,Jun,2023-06,Q2,2023Q2,3,202306
2023-06-04,2023,6,Jun,2023-06,Q2,2023Q2,4,202306
2023-06-05,2023,6,Jun,2023-06,Q2,2023Q2,5,202306
2023-06-06,2023,6,Jun,2023-06,Q2,2023Q2,6,202306
2023-06-07,2023,6,Jun,2023-06,Q2,2023Q2,7,202306
2023-06-08,2023,6,Jun,2023-06,Q2,2023Q2,8,202306
2023-06-09,2023,6,Jun,2023-06,Q2,2023Q2,9,202306
2023-06-10,2023,6,Jun,2023-06,Q2,2023Q2,10,202306
2023-06-11,2023,6,Jun,2023-06,Q2,2023Q2,11,202306
2023-06-12,2023,6,Jun,2023-06,Q2,2023Q2,12,202306
2023-06-13,2023,6,Jun,2023-06,Q2,2023Q2,13,202306
2023-06-14,2023,6,Jun,2023-06,Q2,2023Q2,14,202306
2023-06-15,2023,6,Jun,2023-06,Q2,2023Q2,15,202306
2023-06-16,2023,6,Jun,2023-06,Q2,2023Q2,16,202306
