Date,Year,Month,MonthName,YearMonth,Quarter,YearQuarter,Day,MonthYearSort
2016-09-15,2016,9,Sep,2016-09,Q3,2016Q3,15,201609
2016-09-16,2016,9,Sep,2016-09,Q3,2016Q3,16,201609
2016-09-17,2016,9,Sep,2016-09,Q3,2016Q3,17,201609
2016-09-18,2016,9,Sep,2016-09,Q3,2016Q3,18,201609
2016-09-19,2016,9,Sep,2016-09,Q3,2016Q3,19,201609
2016-09-20,2016,9,Sep,2016-09,Q3,2016Q3,20,201609
2016-09-21,2016,9,Sep,2016-09,Q3,2016Q3,21,201609
2016-09-22,2016,9,Sep,2016-09,Q3,2016Q3,22,201609
2016-09-23,2016,9,Sep,2016-09,Q3,2016Q3,23,201609
2016-09-24,2016,9,Sep,2016-09,Q3,2016Q3,24,201609
2016-09-25,2016,9,Sep,2016-09,Q3,2016Q3,25,201609
2016-09-26,2016,9,Sep,2016-09,Q3,2016Q3,26,201609
2016-09-27,2016,9,Sep,2016-09,Q3,2016Q3,27,201609
2016-09-28,2016,9,Sep,2016-09,Q3,2016Q3,28,201609
2016-09-29,2016,9,Sep,2016-09,Q3,2016Q3,29,201609
2016-09-30,2016,9,Sep,2016-09,Q3,2016Q3,30,201609
2016-10-01,2016,10,Oct,2016-10,Q4,2016Q4,1,201610
2016-10-02,2016,10,Oct,2016-10,Q4,2016Q4,2,201610
2016-10-03,2016,10,Oct,2016-10,Q4,2016Q4,3,201610
2016-10-04,2016,10,Oct,2016-10,Q4,2016Q4,4,201610
2016-10-05,2016,10,Oct,2016-10,Q4,2016Q4,5,201610
2016-10-06,2016,10,Oct,2016-10,Q4,2016Q4,6,201610
2016-10-07,2016,10,Oct,2016-10,Q4,2016Q4,7,201610
2016-10-08,2016,10,Oct,2016-10,Q4,2016Q4,8,201610
2016-10-09,2016,10,Oct,2016-10,Q4,2016Q4,9,201610
2016-10-10,2016,10,Oct,2016-10,Q4,2016Q4,10,201610
2016-10-11,2016,10,Oct,2016-10,Q4,2016Q4,11,201610
2016-10-12,2016,10,Oct,2016-10,Q4,2016Q4,12,201610
2016-10-13,2016,10,Oct,2016-10,Q4,2016Q4,13,201610
2016-10-14,2016,10,Oct,2016-10,Q4,2016Q4,14,201610
2016-10-15,2016,10,Oct,2016-10,Q4,2016Q4,15,201610
2016-10-16,2016,10,Oct,2016-10,Q4,2016Q4,16,201610
2016-10-17,2016,10,Oct,2016-10,Q4,2016Q4,17,201610
2016-10-18,2016,10,Oct,2016-10,Q4,2016Q4,18,201610
2016-10-19,2016,10,Oct,2016-10,Q4,2016Q4,19,201610
2016-10-20,2016,10,Oct,2016-10,Q4,2016Q4,20,201610
2016-10-21,2016,10,Oct,2016-10,Q4,2016Q4,21,201610
2016-10-22,2016,10,Oct,2016-10,Q4,2016Q4,22,201610
