Category,OrderN,LateRate,AvgLeadTime
agro_industry_and_commerce,177,0.0395,11.4
air_conditioning,246,0.0407,11.8
art,194,0.0619,11.2
arts_and_craftmanship,23,0.0435,5.7
audio,348,0.1178,13.4
auto,3803,0.0731,12.3
baby,2794,0.0809,12.6
bed_bath_table,9239,0.0746,12.9
books_general_interest,494,0.0648,11.5
books_imported,50,0.04,8.0
books_technical,256,0.082,10.6
cds_dvds_musicals,12,0.0,10.8
christmas_supplies,125,0.08,15.3
cine_photo,63,0.0635,10.4
computers,176,0.0568,13.8
computers_accessories,6519,0.064,13.1
consoles_games,1016,0.061,13.7
construction_tools_construction,731,0.0739,10.8
construction_tools_lights,237,0.0675,9.8
construction_tools_safety,155,0.0258,11.6
cool_stuff,3516,0.0594,12.4
costruction_tools_garden,186,0.0538,11.9
costruction_tools_tools,97,0.0619,12.2
diapers_and_hygiene,25,0.0,10.4
drinks,285,0.0526,10.3
dvds_blu_ray,55,0.0727,12.9
electronics,2509,0.0765,12.9
fashio_female_clothing,36,0.0556,12.9
fashion_bags_accessories,1816,0.0562,11.2
fashion_childrens_clothes,5,0.0,9.6
fashion_male_clothing,106,0.0472,12.8
fashion_shoes,233,0.0472,15.7
fashion_sport,24,0.0417,10.2
fashion_underwear_beach,117,0.094,13.9
fixed_telephony,212,0.0472,12.5
flowers,27,0.037,11.8
food,436,0.0711,9.8
food_drink,220,0.0364,10.8
furniture_bedroom,88,0.0682,13.8
furniture_decor,6208,0.0718,13.1
furniture_living_room,403,0.0769,14.0
furniture_mattress_and_upholstery,37,0.1351,14.4
garden_tools,3411,0.066,13.6
health_beauty,8621,0.0753,12.0
home_appliances,747,0.0442,11.2
home_appliances_2,226,0.0619,13.8
home_comfort_2,23,0.1304,14.5
home_confort,346,0.1012,13.7
home_construction,460,0.063,13.5
housewares,5670,0.0543,11.1
industry_commerce_and_business,228,0.0702,10.8
kitchen_dining_laundry_garden_furniture,236,0.0466,11.9
la_cuisine,11,0.0,7.1
luggage_accessories,1011,0.0425,10.8
market_place,264,0.0417,12.4
music,37,0.0541,11.5
musical_instruments,606,0.0759,13.1
office_furniture,1244,0.0812,20.7
party_supplies,37,0.0,8.9
pc_gamer,6,0.0,10.3
perfumery,3069,0.0658,11.9
pet_shop,1679,0.0512,11.3
portateis_cozinha_e_preparadores_de_alimentos,13,0.0769,8.2
security_and_services,2,0.0,15.0
signaling_and_security,137,0.0438,10.8
small_appliances,604,0.048,11.0
small_appliances_home_oven_and_coffee,72,0.0556,9.9
sports_leisure,7477,0.0659,12.2
stationery,2240,0.0661,12.8
tablets_printing_image,76,0.0526,13.1
telephony,4071,0.0715,12.9
toys,3758,0.0641,11.7
unknown,1336,0.0711,12.7
watches_gifts,5453,0.0745,12.8
