SellerID,OrderN,LateRate,AvgFreight,AvgLeadTime,CustomerStateN,City,State,RiskBand,RecommendedAction,RiskRank
0015a82c2db000af6aaaf3ae2ecb0532,3,0.0,21.02,10.7,2,santo andre,SP,Low volume,Watch — below volume gate,0
001cca7ae9ae17fb1caed9dfb1094831,194,0.0619,44.44,13.4,17,cariacica,ES,Low,Maintain — on-time seller,278
002100f778ceb8431b7a1020ff7ab48f,49,0.1837,16.24,16.3,13,franca,SP,Medium,Review — rising late rate,15
003554e2dce176b5555353e4f3555ac8,1,0.0,19.38,4.0,1,goiania,GO,Low volume,Watch — below volume gate,0
004c9cd9d87a3c30c522c48c4fc07416,155,0.0645,22.58,14.9,18,ibitinga,SP,Low,Maintain — on-time seller,266
00720abe85ba0859807595bbf045a33b,13,0.1538,24.54,11.7,6,guarulhos,SP,Low volume,Watch — below volume gate,0
00ab3eff1b5192e5f1a63bcecfee11c8,1,0.0,12.08,9.0,1,sao paulo,SP,Low volume,Watch — below volume gate,0
00d8b143d12632bad99c0ad66ad52825,1,0.0,51.1,7.0,1,belo horizonte,MG,Low volume,Watch — below volume gate,0
00ee68308b45bc5e2660cd833c3f81cc,133,0.0752,23.93,9.6,10,sao paulo,SP,Low,Maintain — on-time seller,219
00fc707aaaad2d31347cf883cd2dfe10,102,0.0392,22.78,15.2,10,maringa,PR,Low,Maintain — on-time seller,403
010543a62bd80aa422851e79a3bc7540,2,0.0,15.98,9.0,2,sao paulo,SP,Low volume,Watch — below volume gate,0
010da0602d7774602cd1b3f5fb7b709e,1,0.0,230.25,26.0,1,sao bernardo do campo,SP,Low volume,Watch — below volume gate,0
011b0eaba87386a2ae96a7d32bb531d1,1,0.0,29.18,25.0,1,pompeia,SP,Low volume,Watch — below volume gate,0
01266d4c46afa519678d16a8b683d325,3,0.0,15.74,6.0,2,curitiba,PR,Low volume,Watch — below volume gate,0
013900e863eace745d3ec7614cab5b1a,23,0.0,20.42,12.0,9,curitiba,PR,Low volume,Watch — below volume gate,0
014c0679dd340a0e338872e7ec85666a,14,0.1429,44.88,19.8,8,timoteo,MG,Low volume,Watch — below volume gate,0
014d9a685fd57276679edd00e07089e5,10,0.0,18.01,9.1,4,maringa,PR,Low volume,Watch — below volume gate,0
0176f73cc1195f367f7b32db1e5b3aa8,36,0.1111,35.52,13.2,7,ibitinga,SP,Medium,Review — rising late rate,101
01bcc9d254a0143f0ce9791b960b2a47,10,0.0,25.15,12.7,8,uruacu,GO,Low volume,Watch — below volume gate,0
01c97ebb5cdac52891c0ed1c37ba0012,9,0.0,19.83,13.8,4,catanduva,SP,Low volume,Watch — below volume gate,0
01cf7e3d21494c41fb86034f2e714fa1,59,0.0508,33.3,11.8,10,francisco beltrao,PR,Low,Maintain — on-time seller,335
01ed254b9ff8407dfb9d99ba1e17d923,5,0.0,13.54,6.6,3,mogi das cruzes,SP,Low volume,Watch — below volume gate,0
01fd077212124329bac32490e8ef80d9,31,0.0323,19.74,8.0,8,ribeirao preto / sao paulo,SP,Low,Maintain — on-time seller,455
01fdefa7697d26ad920e9e0346d4bd1b,128,0.0547,21.37,10.7,10,londrina,PR,Low,Maintain — on-time seller,313
0241d4d5d36f10f80c644447315af0bd,230,0.0478,28.91,10.9,18,curitiba,PR,Low,Maintain — on-time seller,359
0249d282d911d23cb8b869ab49c99f53,11,0.1818,12.95,10.0,4,sao paulo,SP,Low volume,Watch — below volume gate,0
024b564ae893ce8e9bfa02c10a401ece,2,0.0,106.0,15.5,2,sao paulo,SP,Low volume,Watch — below volume gate,0
028872bfa080090a9d0abd4f1af168f8,1,0.0,47.37,16.0,1,ribeirao das neves,MG,Low volume,Watch — below volume gate,0
02b72cdeb9cfcc429f1af6f4e3f3b737,4,0.0,56.5,12.5,3,ibitinga,SP,Low volume,Watch — below volume gate,0
02c988090b766852e088c69d7fb3b551,12,0.0,17.21,9.4,5,americana,SP,Low volume,Watch — below volume gate,0
02d35243ea2e497335cd0f076b45675d,14,0.2857,48.24,26.1,8,natal,RN,Low volume,Watch — below volume gate,0
02dcd3e8e25bee036e32512bcf175493,13,0.3077,21.66,17.1,5,contagem,MG,Low volume,Watch — below volume gate,0
02ecc2a19303f05e59ce133fd923fff7,21,0.0,23.39,11.0,10,santo andre,SP,Low volume,Watch — below volume gate,0
02f5837340d7eb4f653d676c7256523a,30,0.0333,19.36,9.6,5,curitiba,PR,Low,Maintain — on-time seller,445
02f623a8eb246f3c5f7c2f96462654e6,44,0.0682,18.86,8.4,9,botucatu,SP,Low,Maintain — on-time seller,244
0307f7565ff85b299b6e5ef162b1b1a9,6,0.0,42.83,15.2,4,sao jose do rio preto,SP,Low volume,Watch — below volume gate,0
034b9387752bfa309f350a70cd45ffa3,8,0.0,18.03,8.5,4,blumenau,SC,Low volume,Watch — below volume gate,0
038b75b729c8a9a04b0d07cba7eabe86,2,0.5,45.42,22.5,2,sao jose dos campos,SP,Low volume,Watch — below volume gate,0
039b29ff3b3473435d0cd59040575de9,9,0.0,11.18,9.0,4,ribeirao pires,SP,Low volume,Watch — below volume gate,0
039e6ad9dae79614493083e241147386,5,0.2,69.68,14.4,4,sao paulo,SP,Low volume,Watch — below volume gate,0
03a2a6dcbe45d639c4dc2a0d24769c40,9,0.1111,19.14,10.6,5,maua,SP,Low volume,Watch — below volume gate,0
03bd479e1d9484cdb14104d3023f7321,3,0.0,26.24,20.3,3,uberlandia,MG,Low volume,Watch — below volume gate,0
0417b067eeab773d2f7061a726dc477f,13,0.2308,49.43,17.5,6,sao bento do sul,SC,Low volume,Watch — below volume gate,0
042573af89b6d931f672efaf789d8358,3,0.3333,21.7,20.0,2,sorocaba,SP,Low volume,Watch — below volume gate,0
04308b1ee57b6625f47df1d56f00eedf,92,0.0761,32.05,18.9,19,bombinhas,SC,Low,Maintain — on-time seller,214
0432ead42b6c8a0bdf68154add917fdf,80,0.025,14.85,8.9,17,maua,SP,Low,Maintain — on-time seller,507
044668ccd5316b12a7cf0d54a156e3e9,3,0.0,17.85,7.7,3,osasco,SP,Low volume,Watch — below volume gate,0
04843805947f0fc584fc1969b6e50fe7,1,0.0,74.76,15.0,1,ivoti,RS,Low volume,Watch — below volume gate,0
048c2757535328e0d7dac690ad3c0aae,50,0.12,24.95,18.4,20,franca,SP,Medium,Review — rising late rate,76
04aa0a1c5ce6b222003403a3e11c3cc0,11,0.1818,74.68,17.5,8,cosmopolis,SP,Low volume,Watch — below volume gate,0
04aba03279157f6d4e0fe8ccaf21963c,15,0.0667,21.28,11.5,6,santo antonio de padua,RJ,Low volume,Watch — below volume gate,0
04e38a233f726ef161074ab1c9b0399a,19,0.0526,18.72,12.1,7,sao paulo,SP,Low volume,Watch — below volume gate,0
04ee0ec01589969663ba5967c0e0bdc0,1,0.0,24.83,3.0,1,lajeado,RS,Low volume,Watch — below volume gate,0
04fdea0c111866e6cf812f1570d6b5bd,8,0.125,21.67,17.9,7,sao paulo,SP,Low volume,Watch — below volume gate,0
0509040ea3fe50071181bbc359eb7738,87,0.046,16.21,11.5,17,belo horizonte,MG,Low,Maintain — on-time seller,370
052577151711aec5c744fe12e66db3e1,1,0.0,42.65,14.0,1,rodeio,SC,Low volume,Watch — below volume gate,0
054694fa03fe82cec4b7551487331d74,20,0.3,33.01,30.9,8,itajobi,SP,Low volume,Watch — below volume gate,0
056b4ada5bbc2c50cc7842547dda6b51,64,0.1094,20.04,12.7,13,queimados,RJ,Medium,Review — rising late rate,104
0570350b23eda5444f8d1d9544932058,6,0.0,20.81,5.0,4,sao paulo,SP,Low volume,Watch — below volume gate,0
05730013efda596306417c3b09302475,4,0.0,54.17,9.5,3,criciuma,SC,Low volume,Watch — below volume gate,0
058cb5aeb36d7c0fcae20fc85d5e0a59,11,0.0909,67.98,10.0,7,rio de janeiro,RJ,Low volume,Watch — below volume gate,0
058fd0aa2bfdb2274e05e1ae971dabb6,59,0.0678,14.7,10.2,12,santo andre,SP,Low,Maintain — on-time seller,247
05a48cc8859962767935ab9087417fbb,1,0.0,16.49,11.0,1,sao paulo,SP,Low volume,Watch — below volume gate,0
05a940b4ecae36cadfd8e93bd9c43257,9,0.0,18.78,14.2,7,goiania,GO,Low volume,Watch — below volume gate,0
05aebce0b5c8f0d41b29b686f2d05fd3,2,0.0,22.94,6.0,1,sao paulo,SP,Low volume,Watch — below volume gate,0
05ca864204d09595ae591b93ea9cf93d,1,0.0,8.52,5.0,1,barueri,SP,Low volume,Watch — below volume gate,0
05d2173d43ea568aa0540eba70d2ca76,62,0.0484,27.08,14.9,11,alfenas,MG,Low,Maintain — on-time seller,357
05e107217c7266362fd44b75b2cd4cc4,5,0.2,16.4,8.2,2,sao paulo - sp,SP,Low volume,Watch — below volume gate,0
05f51e13da97139648b8125c31e5f51b,57,0.1579,33.13,12.4,13,belo horizonte,MG,Medium,Review — rising late rate,33
