Theme,ProxyNPSClass,ReviewScore,QuoteEN,OrderID,LateFlag
Delivery,Detractor,1,I received a message that there was a problem with the delivery. I checked the site and saw that the post office accused the product not receiving. I sent a message to the stark and the store that they did not answer me.,874ebca0220c7586ef0eaf166bb83ea5,1
Delivery,Detractor,1,"The product did not arrive at the post office unit. Instead of taking responsibility for you and stoning the value, the store said it would only make the storm after receiving back the object. I am a non-deliverer client",443038d9ed6b74bc4f7bfa679ce81bf1,1
Delivery,Detractor,1,I always buy in the lannister and my orders arrive before the deadline. I expect an explanation for the delay in delivering the 2 supports for ice cream I bought in the lannister (targaryen) that until hj did not arrive.,427be8c69327b86f12e65fb5fedfde5c,1
Delivery,Passive,4,Delivery was made before the deadline and I received the whole product ok. The color is not very beautiful personally was just what I did not like in the product. But the material is good and came to the right measure.,a0187e7c7bf053267a1187e27e16e58a,0
Delivery,Passive,4,"The criticism is to deliver, because it's the post office they've had three times here at home, and what? I wasn't on either of the three, and they didn't give me a chance to schedule the schedule, I had to pick it up.",b63fff1ef8b6201df68bb611ee41129e,0
Delivery,Passive,4,"The clock is beautiful and arrived on time, although the deadline was quite long. It was the best price I found in the product, but it came with a risk on the reverse button. Nothing that prevents its proper operation",d3c45d7784ed004c4ed67e4dd0f1cf38,0
Delivery,Promoter,5,"Every time I bought it at the baratheon, I was surprised by the speed of delivery, it always comes before the deadline, and that's not to mention the quality of the products... I feel super happy to be a customer of you.",687c2552711e443577a0960e9dd5cb4d,0
Delivery,Promoter,5,"They delivered the right product and on time, they only left to be desired a little in the communication with the Lannister site, because on the site it did not show the tracking updates, otherwise the delivery was made.",567818fc7d9f84b0f5eac47aef90658e,1
Delivery,Promoter,5,"The 4 rolls arrived together and 12 days before the deadline, in a previous purchase targaryen delivered 3 rolls on different dates. The adhesive is of good quality but the placement requires a lot of skill and patience!",7cba130d7fd9cbf1fa889eaaf7c89d29,0
Product quality,Detractor,1,"I bought Logan the key knife product, but the product they sent me was the common key, and I'm not gonna ask for the trade for the product will attend me, but I'm not paying attention to the fact that I sent the product.",021d08e4057e5b6414c8d2f69f4f72a0,0
