Scorecard,ApprovalRate,BadRateApproved,PointSort
Existing score (EXT_MEAN),0.029970531067778545,0.016736401673640166,0
Existing score (EXT_MEAN),0.03812151232052166,0.01644736842105263,1
Existing score (EXT_MEAN),0.04627249357326478,0.013550135501355014,2
Existing score (EXT_MEAN),0.0544234748260079,0.012672811059907835,3
Existing score (EXT_MEAN),0.06257445607875102,0.017034068136272545,4
Existing score (EXT_MEAN),0.07072543733149414,0.01950354609929078,5
Existing score (EXT_MEAN),0.07887641858423726,0.01987281399046105,6
Existing score (EXT_MEAN),0.08702739983698038,0.021613832853025938,7
Existing score (EXT_MEAN),0.0951783810897235,0.020421607378129116,8
Existing score (EXT_MEAN),0.10332936234246662,0.021844660194174758,9
Existing score (EXT_MEAN),0.11148034359520972,0.02249718785151856,10
Existing score (EXT_MEAN),0.11963132484795284,0.020964360587002098,11
Existing score (EXT_MEAN),0.12778230610069596,0.021099116781157997,12
Existing score (EXT_MEAN),0.1359332873534391,0.021217712177121772,13
Existing score (EXT_MEAN),0.1440842686061822,0.022628372497824196,14
Existing score (EXT_MEAN),0.15223524985892534,0.022652388797364087,15
Existing score (EXT_MEAN),0.16038623111166844,0.023064894448788117,16
Existing score (EXT_MEAN),0.16853721236441155,0.023065476190476192,17
Existing score (EXT_MEAN),0.17668819361715468,0.023066004258339247,18
Existing score (EXT_MEAN),0.1848391748698978,0.023744911804613297,19
Existing score (EXT_MEAN),0.19299015612264092,0.024041585445094216,20
Existing score (EXT_MEAN),0.20114113737538403,0.024625935162094763,21
Existing score (EXT_MEAN),0.20929211862812716,0.02486518873576992,22
Existing score (EXT_MEAN),0.21744309988087027,0.02422145328719723,23
Existing score (EXT_MEAN),0.2255940811336134,0.024180100055586438,24
Existing score (EXT_MEAN),0.2337450623863565,0.023873390557939914,25
Existing score (EXT_MEAN),0.24189604363909964,0.024624157594608606,26
Existing score (EXT_MEAN),0.2500470248918428,0.025827482447342027,27
Existing score (EXT_MEAN),0.2581980061445859,0.0259834871296746,28
Existing score (EXT_MEAN),0.266348987397329,0.025659133709981168,29
Existing score (EXT_MEAN),0.2744999686500721,0.026267702147099132,30
Existing score (EXT_MEAN),0.2826509499028152,0.026619343389529725,31
Existing score (EXT_MEAN),0.29080193115555836,0.02652005174644243,32
Existing score (EXT_MEAN),0.29895291240830146,0.027055369127516778,33
Existing score (EXT_MEAN),0.30710389366104457,0.027562270314414047,34
Existing score (EXT_MEAN),0.3152548749137877,0.027446300715990454,35
Existing score (EXT_MEAN),0.32340585616653084,0.02772392400155099,36
Existing score (EXT_MEAN),0.33155683741927394,0.027420574886535553,37
Existing score (EXT_MEAN),0.33970781867201705,0.027131782945736434,38
Existing score (EXT_MEAN),0.34785879992476015,0.027217015140591203,39
Existing score (EXT_MEAN),0.3560097811775033,0.027298344487495598,40
Existing score (EXT_MEAN),0.3641607624302464,0.027892561983471075,41
Existing score (EXT_MEAN),0.3723117436829895,0.028292354328056584,42
Existing score (EXT_MEAN),0.38046272493573263,0.02851021753460778,43
Existing score (EXT_MEAN),0.3886137061884758,0.02839625685705066,44
Existing score (EXT_MEAN),0.3967646874412189,0.028603034134007586,45
Existing score (EXT_MEAN),0.404915668693962,0.028801486528336945,46
Existing score (EXT_MEAN),0.4130666499467051,0.02959927140255009,47
Existing score (EXT_MEAN),0.4212176311994482,0.030068472759749925,48
Existing score (EXT_MEAN),0.4293686124521914,0.03066588785046729,49
Existing score (EXT_MEAN),0.4375195937049345,0.03124104327887647,50
Existing score (EXT_MEAN),0.4456705749576776,0.03165447383230163,51
Existing score (EXT_MEAN),0.4538215562104207,0.031914893617021274,52
Existing score (EXT_MEAN),0.46197253746316386,0.03189467969598263,53
Existing score (EXT_MEAN),0.47012351871590696,0.03214190450786877,54
Existing score (EXT_MEAN),0.47827449996865007,0.03238070267435763,55
Existing score (EXT_MEAN),0.4864254812213932,0.032611497808713585,56
Existing score (EXT_MEAN),0.49457646247413634,0.03296146044624747,57
Existing score (EXT_MEAN),0.5027274437268794,0.03317535545023697,58
Existing score (EXT_MEAN),0.5108784249796225,0.03325969563082965,59
Existing score (EXT_MEAN),0.519092106088156,0.03321657204976446,60
Existing score (EXT_MEAN),0.5272430873408991,0.03341657747651326,61
Existing score (EXT_MEAN),0.5353940685936422,0.033493383300152245,62
Existing score (EXT_MEAN),0.5435450498463854,0.03356788556926981,63
Existing score (EXT_MEAN),0.5516960310991285,0.03454938061143312,64
Existing score (EXT_MEAN),0.5598470123518716,0.03449434427147497,65
Existing score (EXT_MEAN),0.5679979936046147,0.034661662435147365,66
Existing score (EXT_MEAN),0.5761489748573578,0.03493307215148547,67
Existing score (EXT_MEAN),0.584299956110101,0.03541152484172121,68
Existing score (EXT_MEAN),0.592450937362844,0.03619430627579638,69
Existing score (EXT_MEAN),0.6006019186155872,0.0370602359327696,70
Existing score (EXT_MEAN),0.6087528998683303,0.03728499330518076,71
Existing score (EXT_MEAN),0.6169038811210734,0.03780872039841447,72
Existing score (EXT_MEAN),0.6250548623738166,0.037917544387601566,73
Existing score (EXT_MEAN),0.6332058436265596,0.03861768491929894,74
Existing score (EXT_MEAN),0.6413568248793028,0.03978883566331019,75
Existing score (EXT_MEAN),0.649507806132046,0.04083405734144222,76
Existing score (EXT_MEAN),0.657658787384789,0.04166269425112022,77
Existing score (EXT_MEAN),0.6658097686375322,0.042000188341651756,78
Existing score (EXT_MEAN),0.6739607498902752,0.042980742394641364,79
Existing score (EXT_MEAN),0.6821117311430184,0.04338634065631032,80
Existing score (EXT_MEAN),0.6902627123957615,0.04423653374511763,81
Existing score (EXT_MEAN),0.6984136936485046,0.04452823413232786,82
Existing score (EXT_MEAN),0.7065646749012477,0.04525689945869198,83
Existing score (EXT_MEAN),0.7147156561539908,0.046232125625054826,84
Existing score (EXT_MEAN),0.722866637406734,0.046751669702489375,85
Existing score (EXT_MEAN),0.7310176186594771,0.04725962775538211,86
Existing score (EXT_MEAN),0.7391685999122202,0.0476715582322504,87
Existing score (EXT_MEAN),0.7473195811649633,0.04807450289453813,88
Existing score (EXT_MEAN),0.7554705624177065,0.04913270810855672,89
Existing score (EXT_MEAN),0.7636215436704495,0.049757779784875604,90
Existing score (EXT_MEAN),0.7717725249231927,0.05036964822487611,91
Existing score (EXT_MEAN),0.7799235061759358,0.05080794276067208,92
Existing score (EXT_MEAN),0.7880744874286789,0.051794096586840636,93
Existing score (EXT_MEAN),0.7962254686814221,0.05220883534136546,94
Existing score (EXT_MEAN),0.8043764499341651,0.05331670434172578,95
Existing score (EXT_MEAN),0.8125274311869083,0.05417084651593487,96
Existing score (EXT_MEAN),0.8206784124396513,0.05485522194208878,97
Existing score (EXT_MEAN),0.8288293936923945,0.05575308268401543,98
Existing score (EXT_MEAN),0.8369803749451377,0.05640871975428871,99
Existing score (EXT_MEAN),0.8451313561978807,0.05734846798723941,100
Existing score (EXT_MEAN),0.8532823374506239,0.05797633918730252,101
Existing score (EXT_MEAN),0.861433318703367,0.05830118640366839,102
Existing score (EXT_MEAN),0.8695842999561101,0.05898046001874684,103
Existing score (EXT_MEAN),0.8777352812088532,0.0596471176512608,104
Existing score (EXT_MEAN),0.8858862624615963,0.060867718876070495,105
Existing score (EXT_MEAN),0.8940372437143395,0.06178553895785118,106
Existing score (EXT_MEAN),0.9021882249670826,0.06303426228368893,107
Existing score (EXT_MEAN),0.9103392062198257,0.06439837454370136,108
Existing score (EXT_MEAN),0.9184901874725688,0.0653969554235784,109
Existing score (EXT_MEAN),0.9266411687253119,0.06691927735300088,110
Existing score (EXT_MEAN),0.934792149978055,0.06781138909383594,111
