Class,PdBinSort,PdBinLabel,PdBinMid,Density,Share
Good (non-default),1,0%-1%,0.00625,0.0,0.0
Good (non-default),2,1%-2%,0.018750000000000003,0.0,0.0
Good (non-default),3,2%-4%,0.03125,0.0,0.0
Good (non-default),4,4%-5%,0.043750000000000004,36.738697753767426,0.4592337219220927
Good (non-default),5,5%-6%,0.05625,18.3687802104066,0.22960975263008246
Good (non-default),6,6%-8%,0.06875,8.05686664771111,0.10071083309638897
Good (non-default),7,8%-9%,0.08125000000000002,4.421097526300826,0.05526371907876031
Good (non-default),8,9%-10%,0.09375,2.7810634063121986,0.034763292578902476
Good (non-default),9,10%-11%,0.10625000000000001,1.874893375035542,0.023436167187944272
Good (non-default),10,11%-12%,0.11875,1.3576912141029291,0.01697114017628661
Good (non-default),11,12%-14%,0.13125,1.0295706568097802,0.012869633210122263
Good (non-default),12,14%-15%,0.14375000000000002,0.804663065112311,0.010058288313903896
Good (non-default),13,15%-16%,0.15625,0.6497014500995174,0.008121268126243957
Good (non-default),14,16%-18%,0.16875,0.5163491612169459,0.006454364515211829
Good (non-default),15,18%-19%,0.18125000000000002,0.44327551890816097,0.005540943986352005
Good (non-default),16,19%-20%,0.19375,0.3704862098379297,0.004631077622974125
Good (non-default),17,20%-21%,0.20625000000000002,0.30963889678703416,0.0038704862098379303
Good (non-default),18,21%-22%,0.21875,0.2686949104350302,0.003358686380437873
Good (non-default),19,22%-24%,0.23125,0.22888825703724744,0.0028611032129655955
Good (non-default),20,24%-25%,0.24375000000000002,0.21239692920102388,0.002654961615012795
Good (non-default),21,25%-26%,0.25625,0.18481660506113148,0.0023102075632641457
Good (non-default),22,26%-28%,0.26875000000000004,0.15012794995734988,0.001876599374466875
Good (non-default),23,28%-29%,0.28125,0.13960762013079317,0.0017450952516349161
Good (non-default),24,29%-30%,0.29375000000000007,0.11885129371623532,0.0014856411714529428
Good (non-default),25,30%-31%,0.30625,0.11487062837645762,0.0014358828547057151
Good (non-default),26,31%-32%,0.31875,0.09667330110889956,0.0012084162638612455
Good (non-default),27,32%-34%,0.33125000000000004,0.08160363946545345,0.0010200454933181689
Good (non-default),28,34%-35%,0.34375,0.08018197327267551,0.0010022746659084448
Good (non-default),29,35%-36%,0.35625000000000007,0.07222064259311907,0.0009027580324139892
Good (non-default),30,36%-38%,0.36875,0.07193630935456381,0.0008992038669320444
Good (non-default),31,38%-39%,0.38125,0.06482797839067381,0.0008103497298834234
Good (non-default),32,39%-40%,0.39375000000000004,0.06624964458345176,0.0008281205572931476
Good (non-default),33,40%-41%,0.40625,0.05516064827978386,0.0006895081034972989
Good (non-default),34,41%-43%,0.41875000000000007,0.0500426499857833,0.0006255331248222918
Good (non-default),35,43%-44%,0.43125,0.044071651976116163,0.0005508956497014501
Good (non-default),36,44%-45%,0.44375,0.033551322149559255,0.00041939152686949104
Good (non-default),37,45%-46%,0.45625000000000004,0.03952232015922658,0.0004940290019903327
Good (non-default),38,46%-48%,0.46875,0.03497298834233719,0.00043716235427921523
Good (non-default),39,48%-49%,0.48125000000000007,0.030707989764003386,0.00038384987205004265
Good (non-default),40,49%-50%,0.49375,0.037247654250782046,0.00046559567813477394
Bad (default),1,0%-1%,0.00625,0.0,0.0
Bad (default),2,1%-2%,0.018750000000000003,0.0,0.0
Bad (default),3,2%-4%,0.03125,0.0,0.0
Bad (default),4,4%-5%,0.043750000000000004,5.98796978879291,0.07484962235991136
Bad (default),5,5%-6%,0.05625,9.703767355614854,0.12129709194518565
Bad (default),6,6%-8%,0.06875,8.574917461896787,0.10718646827370992
Bad (default),7,8%-9%,0.08125000000000002,6.899733164488266,0.0862466645561033
Bad (default),8,9%-10%,0.09375,5.46334403690471,0.06829180046130885
Bad (default),9,10%-11%,0.10625000000000001,4.50092714033739,0.056261589254217356
Bad (default),10,11%-12%,0.11875,3.8930848898738195,0.04866356112342273
Bad (default),11,12%-14%,0.13125,3.3467504861833444,0.04183438107729184
Bad (default),12,14%-15%,0.14375000000000002,2.688254714847811,0.033603183935597664
Bad (default),13,15%-16%,0.15625,2.7750893220568984,0.03468861652571118
Bad (default),14,16%-18%,0.16875,2.1563927456921874,0.026954909321152368
Bad (default),15,18%-19%,0.18125000000000002,1.8379991859255598,0.022974989824069467
Bad (default),16,19%-20%,0.19375,1.7945818823210151,0.022432273529012708
Bad (default),17,20%-21%,0.20625000000000002,1.689656731943375,0.02112070914929221
Bad (default),18,21%-22%,0.21875,1.5196056261589275,0.01899507032698657
