Sample,FprSort,FprLabel,FPR,TPR
Train,0,0%,0.0,0.00031302823514681025
Train,1,1%,0.01,0.18894384273461468
Train,2,2%,0.02,0.2713328742252551
Train,3,3%,0.03,0.3294935203155325
Train,4,4%,0.04,0.37769986852814125
Train,5,5%,0.05,0.4162023414511989
Train,6,6%,0.06,0.4554560821386089
Train,7,7%,0.07,0.48807362424090656
Train,8,8%,0.08,0.519626870343705
Train,9,9%,0.09,0.5466725098603894
Train,10,10%,0.1,0.5708382896137232
Train,11,11%,0.11,0.5946910411319101
Train,12,12%,0.12,0.6139109747699243
Train,13,13%,0.13,0.6328178801727916
Train,14,14%,0.14,0.6507230952231892
Train,15,15%,0.15,0.6660614787453828
Train,16,16%,0.16,0.6829650034433106
Train,17,17%,0.17,0.6993050773179741
Train,18,18%,0.18,0.7126400801352282
Train,19,19%,0.19,0.7262881111876291
Train,20,20%,0.2,0.7391848744756777
Train,21,21%,0.21,0.7509547361171978
Train,22,22%,0.22,0.7614098791711013
Train,23,23%,0.23,0.7732423464596506
Train,24,24%,0.24,0.7839479121016716
Train,25,25%,0.25,0.7940274212733989
Train,26,26%,0.26,0.8028548175045389
Train,27,27%,0.27,0.8128717210292369
Train,28,28%,0.28,0.8208226382019658
Train,29,29%,0.29,0.8276466537281663
Train,30,30%,0.3,0.8345958805484255
Train,31,31%,0.31,0.8419833468978902
Train,32,32%,0.32,0.8503098979527953
Train,33,33%,0.33,0.8565078570087021
Train,34,34%,0.34,0.8620797595943154
Train,35,35%,0.35000000000000003,0.8680272960621048
Train,36,36%,0.36,0.8729731421774244
Train,37,37%,0.37,0.8773555374694797
Train,38,38%,0.38,0.8821761722907406
Train,39,39%,0.39,0.8861829337006198
Train,40,40%,0.4,0.8908157515807926
Train,41,41%,0.41000000000000003,0.8948851186377011
Train,42,42%,0.42,0.8992675139297565
Train,43,43%,0.43,0.9034620922807237
Train,44,44%,0.44,0.9074688536906029
Train,45,45%,0.45,0.9122268828648344
Train,46,46%,0.46,0.9164214612158017
Train,47,47%,0.47000000000000003,0.9195517435672698
