Ticker,YahooSymbol,CompanyName,Country,Sector,Industry,MarketCapEURm,InMidUniverse,InBook
NOKIA,NOKIA.HE,Nokia,FI,Technology,Communications Equipment,5200,1,0
SAMPO,SAMPO.HE,Sampo,FI,Financials,Insurance,22000,0,0
KNEBV,KNEBV.HE,KONE,FI,Industrials,Machinery,28000,0,0
NESTE,NESTE.HE,Neste,FI,Energy,Oil & Gas Refining,12000,1,1
NDA-FI,NDA-FI.HE,Nordea Bank,FI,Financials,Banks,42000,1,1
UPM,UPM.HE,UPM-Kymmene,FI,Materials,Paper & Forest,14000,0,0
STERV,STERV.HE,Stora Enso,FI,Materials,Paper & Forest,8000,0,0
FORTUM,FORTUM.HE,Fortum,FI,Utilities,Electric Utilities,15000,0,0
ORNBV,ORNBV.HE,Orion,FI,Health Care,Pharmaceuticals,7000,0,0
WRT1V,WRT1V.HE,Wärtsilä,FI,Industrials,Machinery,11000,0,0
ELISA,ELISA.HE,Elisa,FI,Communication Services,Telecom,7000,0,0
KALMAR,KALMAR.HE,Kalmar,FI,Industrials,Machinery,2500,0,0
HIAB,HIAB.HE,Hiab,FI,Industrials,Machinery,2500,0,0
VOLV-B,VOLV-B.ST,Volvo B,SE,Industrials,Machinery,55000,1,0
ATCO-A,ATCO-A.ST,Atlas Copco A,SE,Industrials,Machinery,70000,0,0
INVE-B,INVE-B.ST,Investor B,SE,Financials,Diversified Financials,80000,1,0
HEXA-B,HEXA-B.ST,Hexagon B,SE,Technology,Software,28000,0,0
ERIC-B,ERIC-B.ST,Ericsson B,SE,Technology,Communications Equipment,25000,1,0
SEB-A,SEB-A.ST,SEB A,SE,Financials,Banks,32000,0,0
SWED-A,SWED-A.ST,Swedbank A,SE,Financials,Banks,25000,0,0
SHB-A,SHB-A.ST,Handelsbanken A,SE,Financials,Banks,22000,0,0
ASSA-B,ASSA-B.ST,ASSA ABLOY B,SE,Industrials,Building Products,30000,0,0
SAND,SAND.ST,Sandvik,SE,Industrials,Machinery,25000,0,0
ESSITY-B,ESSITY-B.ST,Essity B,SE,Consumer Staples,Household Products,18000,0,0
HM-B,HM-B.ST,H&M B,SE,Consumer Discretionary,Apparel Retail,22000,0,0
ALFA,ALFA.ST,Alfa Laval,SE,Industrials,Machinery,16000,0,0
SKF-B,SKF-B.ST,SKF B,SE,Industrials,Machinery,9000,0,0
TELIA,TELIA.ST,Telia,SE,Communication Services,Telecom,12000,0,0
BOL,BOL.ST,Boliden,SE,Materials,Metals & Mining,10000,0,0
NOVO-B,NOVO-B.CO,Novo Nordisk B,DK,Health Care,Pharmaceuticals,350000,0,0
DSV,DSV.CO,DSV,DK,Industrials,Logistics,45000,0,0
MAERSK-B,MAERSK-B.CO,A.P. Moller-Maersk B,DK,Industrials,Marine Shipping,28000,0,0
ORSTED,ORSTED.CO,Ørsted,DK,Utilities,Renewable Electricity,20000,0,0
CARL-B,CARL-B.CO,Carlsberg B,DK,Consumer Staples,Beverages,18000,0,0
COLO-B,COLO-B.CO,Coloplast B,DK,Health Care,Health Care Equipment,22000,0,0
VWS,VWS.CO,Vestas Wind,DK,Industrials,Electrical Equipment,22000,0,0
DANSKE,DANSKE.CO,Danske Bank,DK,Financials,Banks,25000,0,0
GMAB,GMAB.CO,Genmab,DK,Health Care,Biotechnology,18000,0,0
EQNR,EQNR.OL,Equinor,NO,Energy,Integrated Oil & Gas,70000,0,0
DNB,DNB.OL,DNB Bank,NO,Financials,Banks,30000,0,0
TEL,TEL.OL,Telenor,NO,Communication Services,Telecom,18000,0,0
MOWI,MOWI.OL,Mowi,NO,Consumer Staples,Food Products,10000,0,0
YAR,YAR.OL,Yara International,NO,Materials,Fertilizers,9000,0,0
NHY,NHY.OL,Norsk Hydro,NO,Materials,Aluminum,12000,0,0
ORK,ORK.OL,Orkla,NO,Consumer Staples,Food Products,8000,0,0
KESKOB,KESKOB.HE,Kesko B,FI,Consumer Staples,Food Retail,8000,0,0
METSO,METSO.HE,Metso,FI,Industrials,Machinery,9000,0,0
VALMT,VALMT.HE,Valmet,FI,Industrials,Machinery,5000,0,0
OUT1V,OUT1V.HE,Outokumpu,FI,Materials,Steel,2000,0,0
HUH1V,HUH1V.HE,Huhtamäki,FI,Materials,Packaging,3500,0,0
TYRES,TYRES.HE,Nokian Tyres,FI,Consumer Discretionary,Auto Parts,1500,0,0
QTCOM,QTCOM.HE,Qt Group,FI,Technology,Software,2500,0,0
TIETO,TIETO.HE,Tietoevry,FI,Technology,IT Services,2000,0,0
EQT,EQT.ST,EQT,SE,Financials,Private Equity,35000,0,0
EPI-A,EPI-A.ST,Epiroc A,SE,Industrials,Machinery,22000,0,0
SAAB-B,SAAB-B.ST,Saab B,SE,Industrials,Aerospace & Defense,12000,0,0
NIBE-B,NIBE-B.ST,NIBE B,SE,Industrials,Building Products,10000,0,0
SCA-B,SCA-B.ST,SCA B,SE,Materials,Paper & Forest,9000,0,0
AZN,AZN.ST,AstraZeneca,SE,Health Care,Pharmaceuticals,200000,0,0
GETI-B,GETI-B.ST,Getinge B,SE,Health Care,Health Care Equipment,7000,0,0
TEL2-B,TEL2-B.ST,Tele2 B,SE,Communication Services,Telecom,8000,0,0
SECU-B,SECU-B.ST,Securitas B,SE,Industrials,Security Services,5000,0,0
ELUX-B,ELUX-B.ST,Electrolux B,SE,Consumer Discretionary,Household Durables,3000,0,0
SINCH,SINCH.ST,Sinch,SE,Technology,Software,2500,0,0
INDU-C,INDU-C.ST,Industrivärden C,SE,Financials,Diversified Financials,12000,0,0
KINV-B,KINV-B.ST,Kinnevik B,SE,Financials,Diversified Financials,3000,0,0
PNDORA,PNDORA.CO,Pandora,DK,Consumer Discretionary,Apparel & Luxury,12000,0,0
ROCK-B,ROCK-B.CO,Rockwool B,DK,Materials,Building Materials,7000,0,0
NSIS-B,NSIS-B.CO,Novonesis B,DK,Materials,Specialty Chemicals,30000,0,0
DEMANT,DEMANT.CO,Demant,DK,Health Care,Health Care Equipment,8000,0,0
GN,GN.CO,GN Store Nord,DK,Health Care,Health Care Equipment,4000,0,0
TRYG,TRYG.CO,Tryg,DK,Financials,Insurance,12000,0,0
BAVA,BAVA.CO,Bavarian Nordic,DK,Health Care,Biotechnology,2500,0,0
AMBU-B,AMBU-B.CO,Ambu B,DK,Health Care,Health Care Equipment,4000,0,0
AKRBP,AKRBP.OL,Aker BP,NO,Energy,Oil & Gas E&P,15000,0,0
TOM,TOM.OL,Tomra Systems,NO,Industrials,Machinery,5000,0,0
SALM,SALM.OL,SalMar,NO,Consumer Staples,Food Products,7000,0,0
STB,STB.OL,Storebrand,NO,Financials,Insurance,5000,0,0
GJF,GJF.OL,Gjensidige,NO,Financials,Insurance,10000,0,0
BAKKA,BAKKA.OL,Bakkafrost,NO,Consumer Staples,Food Products,3000,0,0
SUBC,SUBC.OL,Subsea 7,NO,Energy,Oil & Gas Equipment,5000,0,0
AUTO,AUTO.OL,AutoStore,NO,Technology,Machinery / Automation,4000,0,0
