Date,Series,EquityEUR,EquityIndexed,Drawdown
2020-12-04,Benchmark (VWCE.DE),100,100,0
2020-12-07,Benchmark (VWCE.DE),99.98,99.9752,-0.000248
2020-12-08,Benchmark (VWCE.DE),100.2,100.1983,0
2020-12-09,Benchmark (VWCE.DE),100.43,100.4338,0
2020-12-10,Benchmark (VWCE.DE),99.91,99.9132,-0.005183
2020-12-11,Benchmark (VWCE.DE),99.28,99.2811,-0.011477
2020-12-14,Benchmark (VWCE.DE),99.75,99.7521,-0.006788
2020-12-15,Benchmark (VWCE.DE),99.65,99.653,-0.007775
2020-12-16,Benchmark (VWCE.DE),100.31,100.3099,-0.001234
2020-12-17,Benchmark (VWCE.DE),100.27,100.2727,-0.001604
2020-12-18,Benchmark (VWCE.DE),100.1,100.0992,-0.003332
2020-12-21,Benchmark (VWCE.DE),98.95,98.9465,-0.014809
2020-12-22,Benchmark (VWCE.DE),99.65,99.653,-0.007775
2020-12-23,Benchmark (VWCE.DE),100.21,100.2107,-0.002221
2020-12-24,Benchmark (VWCE.DE),100.21,100.2107,-0.002221
2020-12-28,Benchmark (VWCE.DE),100.74,100.7437,0
2020-12-29,Benchmark (VWCE.DE),100.89,100.8924,0
2020-12-30,Benchmark (VWCE.DE),100.92,100.9172,0
2020-12-31,Benchmark (VWCE.DE),100.92,100.9172,0
2021-01-04,Benchmark (VWCE.DE),100.41,100.409,-0.005036
2021-01-05,Benchmark (VWCE.DE),100.78,100.7809,-0.001351
2021-01-06,Benchmark (VWCE.DE),102.07,102.0699,0
2021-01-07,Benchmark (VWCE.DE),102.78,102.7764,0
2021-01-08,Benchmark (VWCE.DE),103.71,103.706,0
2021-01-11,Benchmark (VWCE.DE),104.03,104.0283,0
2021-01-12,Benchmark (VWCE.DE),104.08,104.0778,0
2021-01-13,Benchmark (VWCE.DE),104.29,104.2885,0
2021-01-14,Benchmark (VWCE.DE),104.96,104.9579,0
2021-01-15,Benchmark (VWCE.DE),104.13,104.1274,-0.007912
2021-01-19,Benchmark (VWCE.DE),104.34,104.3381,-0.005905
2021-01-20,Benchmark (VWCE.DE),105.73,105.7263,0
2021-01-21,Benchmark (VWCE.DE),105.7,105.7015,-0.000235
2021-01-22,Benchmark (VWCE.DE),104.88,104.8835,-0.007972
2021-01-25,Benchmark (VWCE.DE),104.92,104.9207,-0.00762
2021-01-26,Benchmark (VWCE.DE),105.22,105.2181,-0.004807
2021-01-27,Benchmark (VWCE.DE),103.99,103.9911,-0.016413
2021-01-28,Benchmark (VWCE.DE),104.03,104.0283,-0.016061
2021-01-29,Benchmark (VWCE.DE),101.92,101.9212,-0.035991
2021-02-01,Benchmark (VWCE.DE),103.36,103.3589,-0.022392
2021-02-02,Benchmark (VWCE.DE),105.63,105.6272,-0.000938
2021-02-03,Benchmark (VWCE.DE),105.78,105.7759,0
2021-02-04,Benchmark (VWCE.DE),106.64,106.6435,0
2021-02-05,Benchmark (VWCE.DE),107.04,107.0402,0
2021-02-08,Benchmark (VWCE.DE),107.37,107.3748,0
2021-02-09,Benchmark (VWCE.DE),107.39,107.3872,0
2021-02-10,Benchmark (VWCE.DE),107.13,107.1269,-0.002424
2021-02-11,Benchmark (VWCE.DE),107.72,107.7219,0
2021-02-12,Benchmark (VWCE.DE),108.03,108.0317,0
2021-02-16,Benchmark (VWCE.DE),108.68,108.6763,0
2021-02-17,Benchmark (VWCE.DE),108.28,108.2796,-0.00365
2021-02-18,Benchmark (VWCE.DE),107.54,107.5359,-0.010493
2021-02-19,Benchmark (VWCE.DE),108.08,108.0813,-0.005474
2021-02-22,Benchmark (VWCE.DE),106.77,106.7675,-0.017564
2021-02-23,Benchmark (VWCE.DE),106,105.999,-0.024635
2021-02-24,Benchmark (VWCE.DE),106.77,106.7675,-0.017564
2021-02-25,Benchmark (VWCE.DE),105.76,105.7635,-0.026802
2021-02-26,Benchmark (VWCE.DE),104.88,104.8835,-0.0349
2021-03-01,Benchmark (VWCE.DE),107.03,107.0278,-0.015169
2021-03-02,Benchmark (VWCE.DE),106.35,106.3461,-0.021442
2021-03-03,Benchmark (VWCE.DE),106.28,106.2841,-0.022012
2021-03-04,Benchmark (VWCE.DE),105.57,105.5652,-0.028627
2021-03-05,Benchmark (VWCE.DE),104.49,104.4869,-0.038549
2021-03-08,Benchmark (VWCE.DE),107.25,107.2509,-0.013116
2021-03-09,Benchmark (VWCE.DE),107.83,107.8334,-0.007755
2021-03-10,Benchmark (VWCE.DE),107.99,107.9945,-0.006273
2021-03-11,Benchmark (VWCE.DE),108.92,108.9241,0
2021-03-12,Benchmark (VWCE.DE),108.33,108.3292,-0.005462
2021-03-15,Benchmark (VWCE.DE),108.82,108.825,-0.00091
2021-03-16,Benchmark (VWCE.DE),109.89,109.8909,0
2021-03-17,Benchmark (VWCE.DE),109.13,109.1349,-0.00688
2021-03-18,Benchmark (VWCE.DE),109.44,109.4447,-0.00406
2021-03-19,Benchmark (VWCE.DE),108.84,108.8374,-0.009587
2021-03-22,Benchmark (VWCE.DE),108.99,108.9861,-0.008234
2021-03-23,Benchmark (VWCE.DE),109.09,109.0853,-0.007331
2021-03-24,Benchmark (VWCE.DE),108.81,108.8126,-0.009813
2021-03-25,Benchmark (VWCE.DE),108.55,108.5523,-0.012181
2021-03-26,Benchmark (VWCE.DE),109.47,109.4695,-0.003835
2021-03-29,Benchmark (VWCE.DE),109.93,109.9281,0
2021-03-30,Benchmark (VWCE.DE),110.55,110.5478,0
2021-03-31,Benchmark (VWCE.DE),110.91,110.9073,0
2021-04-01,Benchmark (VWCE.DE),111.55,111.5518,0
2021-04-05,Benchmark (VWCE.DE),111.55,111.5518,0
2021-04-06,Benchmark (VWCE.DE),112.3,112.2955,0
2021-04-07,Benchmark (VWCE.DE),111.51,111.5146,-0.006954
2021-04-08,Benchmark (VWCE.DE),112.1,112.0972,-0.001766
2021-04-09,Benchmark (VWCE.DE),112.27,112.2707,-0.000221
2021-04-12,Benchmark (VWCE.DE),112.07,112.0724,-0.001987
2021-04-13,Benchmark (VWCE.DE),112.31,112.3079,0
2021-04-14,Benchmark (VWCE.DE),112.51,112.5062,0
2021-04-15,Benchmark (VWCE.DE),113.08,113.0764,0
2021-04-16,Benchmark (VWCE.DE),113.36,113.3614,0
2021-04-19,Benchmark (VWCE.DE),112.62,112.6177,-0.00656
2021-04-20,Benchmark (VWCE.DE),111.12,111.118,-0.01979
2021-04-21,Benchmark (VWCE.DE),111.94,111.936,-0.012574
2021-04-22,Benchmark (VWCE.DE),112.82,112.8161,-0.004811
2021-04-23,Benchmark (VWCE.DE),112.48,112.4814,-0.007763
2021-04-26,Benchmark (VWCE.DE),112.73,112.7293,-0.005576
2021-04-27,Benchmark (VWCE.DE),112.62,112.6177,-0.00656
2021-04-28,Benchmark (VWCE.DE),112.65,112.6549,-0.006232
2021-04-29,Benchmark (VWCE.DE),112.38,112.3822,-0.008638
2021-04-30,Benchmark (VWCE.DE),112.53,112.531,-0.007326
2021-05-03,Benchmark (VWCE.DE),112.69,112.6921,-0.005904
2021-05-04,Benchmark (VWCE.DE),111.43,111.4279,-0.017057
2021-05-05,Benchmark (VWCE.DE),112.88,112.878,-0.004264
2021-05-06,Benchmark (VWCE.DE),112.33,112.3327,-0.009075
2021-05-07,Benchmark (VWCE.DE),113.14,113.1383,-0.001968
2021-05-10,Benchmark (VWCE.DE),112.8,112.8037,-0.00492
2021-05-11,Benchmark (VWCE.DE),110.73,110.7338,-0.02318
2021-05-12,Benchmark (VWCE.DE),110.15,110.1512,-0.028318
2021-05-13,Benchmark (VWCE.DE),110.29,110.2876,-0.027116
2021-05-14,Benchmark (VWCE.DE),111.3,111.3039,-0.01815
2021-05-17,Benchmark (VWCE.DE),110.87,110.8701,-0.021977
2021-05-18,Benchmark (VWCE.DE),111.09,111.0932,-0.020009
2021-05-19,Benchmark (VWCE.DE),109.22,109.2216,-0.036519
2021-05-20,Benchmark (VWCE.DE),111.07,111.0684,-0.020227
2021-05-21,Benchmark (VWCE.DE),111.5,111.5022,-0.016401
2021-05-24,Benchmark (VWCE.DE),111.5,111.5022,-0.016401
2021-05-25,Benchmark (VWCE.DE),111.73,111.7253,-0.014433
2021-05-26,Benchmark (VWCE.DE),112.13,112.1344,-0.010824
2021-05-27,Benchmark (VWCE.DE),112.53,112.531,-0.007326
2021-05-28,Benchmark (VWCE.DE),113,113.002,-0.003171
2021-06-01,Benchmark (VWCE.DE),112.82,112.8161,-0.004811
2021-06-02,Benchmark (VWCE.DE),113.25,113.2499,-0.000984
2021-06-03,Benchmark (VWCE.DE),113.41,113.411,0
2021-06-04,Benchmark (VWCE.DE),113.76,113.7581,0
2021-06-07,Benchmark (VWCE.DE),113.52,113.5226,-0.00207
2021-06-08,Benchmark (VWCE.DE),113.6,113.5969,-0.001416
2021-06-09,Benchmark (VWCE.DE),113.75,113.7457,-0.000109
2021-06-10,Benchmark (VWCE.DE),114.14,114.1423,0
2021-06-11,Benchmark (VWCE.DE),114.81,114.8116,0
2021-06-14,Benchmark (VWCE.DE),114.74,114.7372,-0.000648
2021-06-15,Benchmark (VWCE.DE),114.69,114.6877,-0.00108
2021-06-16,Benchmark (VWCE.DE),114.97,114.9727,0
2021-06-17,Benchmark (VWCE.DE),116.01,116.0139,0
2021-06-18,Benchmark (VWCE.DE),115.07,115.0719,-0.00812
2021-06-21,Benchmark (VWCE.DE),115.46,115.4561,-0.004808
2021-06-22,Benchmark (VWCE.DE),115.95,115.9519,-0.000534
2021-06-23,Benchmark (VWCE.DE),115.7,115.704,-0.002671
2021-06-24,Benchmark (VWCE.DE),116.5,116.4973,0
2021-06-25,Benchmark (VWCE.DE),116.78,116.7824,0
2021-06-28,Benchmark (VWCE.DE),116.72,116.7204,-0.000531
2021-06-29,Benchmark (VWCE.DE),117.2,117.2038,0
2021-06-30,Benchmark (VWCE.DE),117.32,117.3153,0
2021-07-01,Benchmark (VWCE.DE),117.48,117.4764,0
2021-07-02,Benchmark (VWCE.DE),118.02,118.0218,0
2021-07-06,Benchmark (VWCE.DE),117.87,117.8731,-0.00126
2021-07-07,Benchmark (VWCE.DE),118.55,118.5548,0
2021-07-08,Benchmark (VWCE.DE),116.73,116.7328,-0.015369
2021-07-09,Benchmark (VWCE.DE),118.11,118.1086,-0.003764
2021-07-12,Benchmark (VWCE.DE),118.46,118.4556,-0.000836
2021-07-13,Benchmark (VWCE.DE),119.16,119.1621,0
2021-07-14,Benchmark (VWCE.DE),118.79,118.7903,-0.00312
2021-07-15,Benchmark (VWCE.DE),118.55,118.5548,-0.005097
2021-07-16,Benchmark (VWCE.DE),118.07,118.0714,-0.009153
2021-07-19,Benchmark (VWCE.DE),115.78,115.7784,-0.028396
2021-07-20,Benchmark (VWCE.DE),117.24,117.2409,-0.016122
2021-07-21,Benchmark (VWCE.DE),117.95,117.9475,-0.010193
2021-07-22,Benchmark (VWCE.DE),118.58,118.5796,-0.004889
2021-07-23,Benchmark (VWCE.DE),119.51,119.5092,0
2021-07-26,Benchmark (VWCE.DE),119,119.001,-0.004252
2021-07-27,Benchmark (VWCE.DE),117.56,117.5632,-0.016283
2021-07-28,Benchmark (VWCE.DE),118.72,118.7159,-0.006638
2021-07-29,Benchmark (VWCE.DE),118.83,118.8275,-0.005704
2021-07-30,Benchmark (VWCE.DE),118.2,118.1953,-0.010994
2021-08-02,Benchmark (VWCE.DE),118.73,118.7283,-0.006534
2021-08-03,Benchmark (VWCE.DE),118.52,118.5176,-0.008297
2021-08-04,Benchmark (VWCE.DE),119.08,119.0754,-0.00363
2021-08-05,Benchmark (VWCE.DE),119.76,119.7571,0
2021-08-06,Benchmark (VWCE.DE),120.12,120.1165,0
2021-08-09,Benchmark (VWCE.DE),120.38,120.3768,0
2021-08-10,Benchmark (VWCE.DE),120.76,120.761,0
2021-08-11,Benchmark (VWCE.DE),120.81,120.8106,0
2021-08-12,Benchmark (VWCE.DE),120.92,120.9222,0
2021-08-13,Benchmark (VWCE.DE),120.7,120.6991,-0.001845
2021-08-16,Benchmark (VWCE.DE),120.23,120.2281,-0.00574
2021-08-17,Benchmark (VWCE.DE),120.44,120.4388,-0.003998
2021-08-18,Benchmark (VWCE.DE),120.48,120.476,-0.00369
2021-08-19,Benchmark (VWCE.DE),119.01,119.0134,-0.015785
2021-08-20,Benchmark (VWCE.DE),119.71,119.7075,-0.010045
2021-08-23,Benchmark (VWCE.DE),120.58,120.5751,-0.00287
2021-08-24,Benchmark (VWCE.DE),121.06,121.0585,0
2021-08-25,Benchmark (VWCE.DE),121.15,121.1453,0
2021-08-26,Benchmark (VWCE.DE),120.6,120.5999,-0.004502
